Mach,C_l,C_d,C_Eff,C_mz
0.50,0.323455,0.009081,35.620854,-0.0057592
0.55,0.335959,0.009149,36.719680,-0.00719615
0.60,0.352546,0.009261,38.068673,-0.00932948
0.65,0.375990,0.009466,39.719180,-0.0130402
0.675,0.391532,0.009845,39.769200,-0.0167307
0.70,0.408516,0.011768,34.714615,-0.0214793
0.725,0.426970,0.016548,25.802179,-0.0216444
0.75,0.438435,0.024331,18.019686,-0.0125059
0.76,0.430531,0.027761,15.508390,-0.00793788
0.77,0.407005,0.030840,13.197312,-0.00522324
0.80,0.270002,0.037493,7.201324,-0.00806174
0.81,0.219664,0.039450,5.568128,-0.0113324
0.82,0.163163,0.041844,3.899304,-0.0200676
0.83,0.092741,0.045217,2.051009,-0.0439018
0.84,-0.006948,0.050100,-0.138684,-0.101144
0.85,-0.079034,0.058306,-1.355508,-0.159136
0.8525,-0.079471,0.060788,-1.307347,-0.162468
0.855,-0.075728,0.063331,-1.195754,-0.162904
0.86,-0.060828,0.068557,-0.887263,-0.159116
0.875,0.012957,0.086067,0.150543,-0.128736
0.88,0.050997,0.093009,0.548298,-0.106905
0.89,0.149105,0.109390,1.363052,-0.0356316
0.895,0.203576,0.118790,1.713742,0.0127154
0.899,0.246672,0.126674,1.947304,0.0560657
0.8995,0.251514,0.127610,1.970962,0.0612814
0.90,0.256021,0.128496,1.992438,0.0662246
0.901,0.263977,0.130095,2.029117,0.0751987
0.902,0.269334,0.131280,2.051597,0.0816206
0.903,0.271481,0.131882,2.058512,0.0846987
0.905,0.270560,0.131940,2.050625,0.0852605
0.917,0.259842,0.130457,1.991777,0.081542
0.933,0.249647,0.128462,1.943348,0.0782102
0.95,0.241244,0.126389,1.908751,0.075503
1.00,0.227218,0.120907,1.879278,0.071055
1.05,0.219291,0.116515,1.882086,0.0685398
1.10,0.209065,0.112934,1.851216,0.0647641
1.15,0.199918,0.110919,1.802373,0.0636271
1.20,0.188211,0.109955,1.711708,0.0577123
1.25,0.179396,0.109040,1.645230,0.054476
1.30,0.171357,0.108821,1.574674,0.0534547
