Mach,C_l,C_d,C_Eff,C_mz
0.50,0.329912,0.008898,37.078122,0.0714431
0.55,0.341105,0.008950,38.111770,0.0736328
0.60,0.355716,0.009031,39.386806,0.0764188
0.65,0.375481,0.009162,40.983277,0.0800492
0.70,0.404711,0.009407,43.021072,0.0851605
0.725,0.426417,0.009589,44.468170,0.0887414
0.737,0.440639,0.009754,45.175422,0.0910781
0.741,0.446051,0.009871,45.186101,0.0921587
0.745,0.451594,0.010134,44.562606,0.0934959
0.75,0.457937,0.010698,42.806518,0.0955531
0.765,0.473280,0.014105,33.554386,0.104901
0.77,0.475272,0.015746,30.182972,0.10866
0.775,0.474516,0.017551,27.035729,0.112381
0.78,0.470282,0.019468,24.156790,0.115761
0.785,0.461728,0.021462,21.513380,0.118406
0.80,0.406414,0.027843,14.596708,0.118653
0.8125,0.336469,0.034138,9.856003,0.109323
0.825,0.246671,0.041647,5.922824,0.0875831
0.837,0.124935,0.049627,2.517484,0.0438067
0.85,0.007675,0.059967,0.127984,-0.00276608
0.8625,-0.080417,0.073130,-1.099649,-0.0382898
0.87,-0.109020,0.081551,-1.336822,-0.0524275
0.875,-0.113828,0.086782,-1.311655,-0.0570094
0.879,-0.110380,0.090820,-1.215372,-0.0576568
0.882,-0.102467,0.093863,-1.091671,-0.0554744
0.886,-0.083855,0.098192,-0.853988,-0.0479408
0.891,-0.048938,0.104376,-0.468864,-0.0308724
0.90,0.030062,0.117891,0.254995,0.01498
0.903,0.052233,0.122018,0.428078,0.0295039
0.905,0.062300,0.123965,0.502559,0.0364216
0.907,0.065964,0.124607,0.529378,0.0390388
0.9125,0.065181,0.124015,0.525585,0.0387208
0.925,0.063547,0.122583,0.518400,0.0379979
0.95,0.060553,0.119744,0.505684,0.0366403
1.00,0.058140,0.114600,0.507331,0.0352354
1.05,0.055885,0.110333,0.506512,0.0338943
1.10,0.051125,0.106817,0.478623,0.0323054
1.15,0.053979,0.104656,0.515779,0.0313477
1.20,0.048926,0.103171,0.474219,0.0297124
1.25,0.048523,0.101734,0.476960,0.0292515
1.30,0.043657,0.100172,0.435822,0.0254889
