Eddy_Viscosity,Mach,Nu_Tilde,Pressure_Coefficient
0,0,0,0.241917
0,0,0,0.242351
0,0,0,0.235227
0,0,0,0.228753
0,0,0,0.228604
0,0,0,0.225702
0,0,0,0.223723
0,0,0,0.221265
0,0,0,0.219088
0,0,0,0.216758
0,0,0,0.214571
0,0,0,0.212247
0,0,0,0.210025
0,0,0,0.207714
0,0,0,0.205417
0,0,0,0.203187
0,0,0,0.200861
0,0,0,0.198611
0,0,0,0.196308
0,0,0,0.194022
0,0,0,0.191701
0,0,0,0.189389
0,0,0,0.187107
0,0,0,0.184764
0,0,0,0.182525
0,0,0,0.180144
0,0,0,0.177928
0,0,0,0.175564
0,0,0,0.173292
0,0,0,0.170974
0,0,0,0.168704
0,0,0,0.166342
0,0,0,0.164104
0,0,0,0.161764
0,0,0,0.159438
0,0,0,0.157229
0,0,0,0.154842
0,0,0,0.152606
0,0,0,0.150343
0,0,0,0.148027
0,0,0,0.145754
0,0,0,0.143563
0,0,0,0.14118
0,0,0,0.139051
0,0,0,0.136732
0,0,0,0.134483
0,0,0,0.132282
0,0,0,0.129993
0,0,0,0.127797
0,0,0,0.125545
0,0,0,0.123322
0,0,0,0.121138
0,0,0,0.118884
0,0,0,0.116709
0,0,0,0.11454
0,0,0,0.112335
0,0,0,0.110172
0,0,0,0.108014
0,0,0,0.10583
0,0,0,0.103674
0,0,0,0.101547
0,0,0,0.0993594
0,0,0,0.0972676
0,0,0,0.0951008
0,0,0,0.0929845
0,0,0,0.0908687
0,0,0,0.0887471
0,0,0,0.086603
0,0,0,0.0845239
0,0,0,0.0824492
0,0,0,0.0803302
0,0,0,0.0783157
0,0,0,0.0761646
0,0,0,0.0741493
0,0,0,0.0720911
0,0,0,0.0700034
0,0,0,0.0680369
0,0,0,0.065909
0,0,0,0.0639737
0,0,0,0.0619334
0,0,0,0.0599447
0,0,0,0.0579782
0,0,0,0.056002
0,0,0,0.0540108
0,0,0,0.0520665
0,0,0,0.0501058
0,0,0,0.048126
0,0,0,0.0461869
0,0,0,0.0442095
0,0,0,0.0422664
0,0,0,0.040355
0,0,0,0.0383313
0,0,0,0.0364933
0,0,0,0.0345088
0,0,0,0.032599
0,0,0,0.030716
0,0,0,0.0288155
0,0,0,0.026938
0,0,0,0.0250727
