Eddy_Viscosity,Mach,Nu_Tilde,Pressure_Coefficient
0,0,0,0.221116
0,0,0,0.186466
0,0,0,0.153865
0,0,0,0.131678
0,0,0,0.111801
0,0,0,0.0913533
0,0,0,0.0730085
0,0,0,0.0553534
0,0,0,0.0386576
0,0,0,0.022682
0,0,0,0.00746266
0,0,0,-0.00710301
0,0,0,-0.0210995
0,0,0,-0.034598
0,0,0,-0.0475853
0,0,0,-0.0601019
0,0,0,-0.0722202
0,0,0,-0.0840198
0,0,0,-0.0955021
0,0,0,-0.106671
0,0,0,-0.117535
0,0,0,-0.128151
0,0,0,-0.13855
0,0,0,-0.14876
0,0,0,-0.158794
0,0,0,-0.168673
0,0,0,-0.178385
0,0,0,-0.187929
0,0,0,-0.197282
0,0,0,-0.206466
0,0,0,-0.215489
0,0,0,-0.224378
0,0,0,-0.233129
0,0,0,-0.241738
0,0,0,-0.250188
0,0,0,-0.258476
0,0,0,-0.266619
0,0,0,-0.274637
0,0,0,-0.282556
0,0,0,-0.290377
0,0,0,-0.298093
0,0,0,-0.305687
0,0,0,-0.313148
0,0,0,-0.320476
0,0,0,-0.327683
0,0,0,-0.334777
0,0,0,-0.341768
0,0,0,-0.348663
0,0,0,-0.355467
0,0,0,-0.36219
0,0,0,-0.368838
0,0,0,-0.375415
0,0,0,-0.381921
0,0,0,-0.388348
0,0,0,-0.394701
0,0,0,-0.400969
0,0,0,-0.407163
0,0,0,-0.41328
0,0,0,-0.419332
0,0,0,-0.425326
0,0,0,-0.431271
0,0,0,-0.437153
0,0,0,-0.442963
0,0,0,-0.448688
0,0,0,-0.454322
0,0,0,-0.459853
0,0,0,-0.465276
0,0,0,-0.47058
0,0,0,-0.47576
0,0,0,-0.480806
0,0,0,-0.485712
0,0,0,-0.490464
0,0,0,-0.495053
0,0,0,-0.499463
0,0,0,-0.50368
0,0,0,-0.507671
0,0,0,-0.51143
0,0,0,-0.514971
0,0,0,-0.518305
0,0,0,-0.521435
0,0,0,-0.524369
0,0,0,-0.527098
0,0,0,-0.529641
0,0,0,-0.532003
0,0,0,-0.534203
0,0,0,-0.536244
0,0,0,-0.53814
0,0,0,-0.539892
0,0,0,-0.541512
0,0,0,-0.543002
0,0,0,-0.544375
0,0,0,-0.54563
0,0,0,-0.546777
0,0,0,-0.547813
0,0,0,-0.548749
0,0,0,-0.54959
0,0,0,-0.550348
0,0,0,-0.551028
0,0,0,-0.551639
0,0,0,-0.552188
0,0,0,-0.552685
0,0,0,-0.553128
0,0,0,-0.553524
0,0,0,-0.553876
0,0,0,-0.554188
0,0,0,-0.554467
0,0,0,-0.554713
0,0,0,-0.554935
0,0,0,-0.555131
0,0,0,-0.555311
0,0,0,-0.555473
0,0,0,-0.555626
0,0,0,-0.555769
0,0,0,-0.555916
0,0,0,-0.556068
0,0,0,-0.55623
0,0,0,-0.556396
0,0,0,-0.556568
0,0,0,-0.556741
0,0,0,-0.55692
0,0,0,-0.557101
0,0,0,-0.557292
0,0,0,-0.557489
0,0,0,-0.557693
0,0,0,-0.557899
0,0,0,-0.558105
0,0,0,-0.558306
0,0,0,-0.558503
0,0,0,-0.558693
0,0,0,-0.558875
0,0,0,-0.559051
0,0,0,-0.559216
0,0,0,-0.559375
0,0,0,-0.559524
0,0,0,-0.559667
0,0,0,-0.5598
0,0,0,-0.559928
0,0,0,-0.560048
0,0,0,-0.560164
0,0,0,-0.560272
0,0,0,-0.560374
0,0,0,-0.560466
0,0,0,-0.560551
0,0,0,-0.560625
0,0,0,-0.560692
0,0,0,-0.560748
0,0,0,-0.560795
0,0,0,-0.560831
0,0,0,-0.560858
0,0,0,-0.560875
0,0,0,-0.560887
0,0,0,-0.560891
0,0,0,-0.560887
0,0,0,-0.560875
0,0,0,-0.560858
0,0,0,-0.560833
0,0,0,-0.560807
0,0,0,-0.560774
0,0,0,-0.560743
0,0,0,-0.560709
0,0,0,-0.560678
0,0,0,-0.560649
0,0,0,-0.560627
0,0,0,-0.56061
0,0,0,-0.560608
0,0,0,-0.560618
0,0,0,-0.560642
0,0,0,-0.560671
0,0,0,-0.560708
0,0,0,-0.560745
0,0,0,-0.560785
0,0,0,-0.560822
0,0,0,-0.56086
0,0,0,-0.560894
0,0,0,-0.560925
0,0,0,-0.560951
0,0,0,-0.560974
0,0,0,-0.560991
0,0,0,-0.561005
0,0,0,-0.561011
0,0,0,-0.561012
0,0,0,-0.561007
0,0,0,-0.560996
0,0,0,-0.560979
0,0,0,-0.560955
0,0,0,-0.560927
0,0,0,-0.560891
0,0,0,-0.560852
0,0,0,-0.560806
0,0,0,-0.560759
0,0,0,-0.560707
0,0,0,-0.560655
0,0,0,-0.560601
0,0,0,-0.560548
0,0,0,-0.560497
0,0,0,-0.560452
0,0,0,-0.560411
0,0,0,-0.560376
0,0,0,-0.56034
0,0,0,-0.560306
0,0,0,-0.560269
0,0,0,-0.560233
0,0,0,-0.560192
0,0,0,-0.56015
0,0,0,-0.560105
0,0,0,-0.560058
0,0,0,-0.560005
0,0,0,-0.55995
0,0,0,-0.55989
0,0,0,-0.559826
0,0,0,-0.559761
0,0,0,-0.559691
0,0,0,-0.559622
0,0,0,-0.559548
0,0,0,-0.559475
0,0,0,-0.5594
0,0,0,-0.559329
0,0,0,-0.559261
0,0,0,-0.559202
0,0,0,-0.559145
0,0,0,-0.559091
0,0,0,-0.559034
0,0,0,-0.558977
0,0,0,-0.558913
0,0,0,-0.558845
0,0,0,-0.558767
0,0,0,-0.558684
0,0,0,-0.55859
0,0,0,-0.558488
0,0,0,-0.558374
0,0,0,-0.558249
0,0,0,-0.558111
0,0,0,-0.557965
0,0,0,-0.557809
0,0,0,-0.557646
0,0,0,-0.557475
0,0,0,-0.557295
0,0,0,-0.557108
0,0,0,-0.556917
0,0,0,-0.556718
0,0,0,-0.556518
0,0,0,-0.556315
0,0,0,-0.556115
0,0,0,-0.555912
0,0,0,-0.555712
0,0,0,-0.555506
0,0,0,-0.555301
0,0,0,-0.55509
0,0,0,-0.554879
0,0,0,-0.554663
0,0,0,-0.554447
0,0,0,-0.554228
0,0,0,-0.55401
0,0,0,-0.553791
0,0,0,-0.553577
0,0,0,-0.553365
0,0,0,-0.553159
0,0,0,-0.552951
0,0,0,-0.552746
0,0,0,-0.552539
0,0,0,-0.552333
0,0,0,-0.552123
0,0,0,-0.551915
0,0,0,-0.551705
0,0,0,-0.551498
0,0,0,-0.551291
0,0,0,-0.551092
0,0,0,-0.5509
0,0,0,-0.550715
0,0,0,-0.550535
0,0,0,-0.550359
0,0,0,-0.55018
0,0,0,-0.550003
0,0,0,-0.54982
0,0,0,-0.549638
0,0,0,-0.549448
0,0,0,-0.549259
0,0,0,-0.549064
0,0,0,-0.54887
0,0,0,-0.548672
0,0,0,-0.548479
0,0,0,-0.548286
0,0,0,-0.548096
0,0,0,-0.547903
0,0,0,-0.547708
0,0,0,-0.547507
0,0,0,-0.547304
0,0,0,-0.547093
0,0,0,-0.54688
0,0,0,-0.546661
0,0,0,-0.546442
0,0,0,-0.54622
0,0,0,-0.546002
0,0,0,-0.54579
0,0,0,-0.545591
0,0,0,-0.545396
0,0,0,-0.545204
0,0,0,-0.545008
0,0,0,-0.544811
0,0,0,-0.544607
0,0,0,-0.5444
0,0,0,-0.544184
0,0,0,-0.543966
0,0,0,-0.543741
0,0,0,-0.543518
0,0,0,-0.543297
0,0,0,-0.543085
0,0,0,-0.542884
0,0,0,-0.54269
0,0,0,-0.542491
0,0,0,-0.542293
0,0,0,-0.542081
0,0,0,-0.541863
0,0,0,-0.54163
0,0,0,-0.541392
0,0,0,-0.54114
0,0,0,-0.540886
0,0,0,-0.540624
0,0,0,-0.540373
0,0,0,-0.540134
0,0,0,-0.539915
0,0,0,-0.539697
0,0,0,-0.539481
0,0,0,-0.539253
0,0,0,-0.539019
0,0,0,-0.538768
0,0,0,-0.538512
0,0,0,-0.538243
0,0,0,-0.537976
0,0,0,-0.537708
0,0,0,-0.537464
0,0,0,-0.537262
0,0,0,-0.537111
0,0,0,-0.536981
0,0,0,-0.536862
0,0,0,-0.536733
0,0,0,-0.536593
0,0,0,-0.536429
0,0,0,-0.536252
0,0,0,-0.536056
0,0,0,-0.535858
0,0,0,-0.535669
0,0,0,-0.535546
0,0,0,-0.535514
0,0,0,-0.535546
0,0,0,-0.535582
0,0,0,-0.535593
0,0,0,-0.53554
0,0,0,-0.535413
0,0,0,-0.535191
0,0,0,-0.534879
0,0,0,-0.534468
0,0,0,-0.534004
0,0,0,-0.533551
0,0,0,-0.53313
0,0,0,-0.532645
0,0,0,-0.532032
0,0,0,-0.531219
0,0,0,-0.530182
0,0,0,-0.528883
0,0,0,-0.527326
0,0,0,-0.525516
0,0,0,-0.523591
0,0,0,-0.521706
0,0,0,-0.519804
0,0,0,-0.517623
0,0,0,-0.514995
0,0,0,-0.511754
0,0,0,-0.50781
0,0,0,-0.503062
0,0,0,-0.497564
0,0,0,-0.491544
0,0,0,-0.485131
0,0,0,-0.477944
0,0,0,-0.469565
0,0,0,-0.459634
0,0,0,-0.447909
0,0,0,-0.434233
0,0,0,-0.418941
0,0,0,-0.402549
0,0,0,-0.384697
0,0,0,-0.364191
0,0,0,-0.340134
0,0,0,-0.311791
0,0,0,-0.279094
0,0,0,-0.242958
0,0,0,-0.20313
0,0,0,-0.157572
0,0,0,-0.104276
0,0,0,-0.0421862
0,0,0,0.0281875
0,0,0,0.106127
0,0,0,0.192962
0,0,0,0.290167
0,0,0,0.397869
0,0,0,0.514523
0,0,0,0.634328
0,0,0,0.750062
0,0,0,0.856471
0,0,0,0.948791
0,0,0,1.01991
0,0,0,1.06625
0,0,0,1.0894
0,0,0,1.09222
0,0,0,1.07848
0,0,0,1.05278
0,0,0,1.01941
0,0,0,0.98159
0,0,0,0.941581
0,0,0,0.900584
0,0,0,0.859967
0,0,0,0.820706
0,0,0,0.783233
0,0,0,0.747631
0,0,0,0.713456
0,0,0,0.680862
0,0,0,0.650155
0,0,0,0.621484
0,0,0,0.594577
0,0,0,0.569367
0,0,0,0.545315
0,0,0,0.522346
0,0,0,0.50053
0,0,0,0.480032
0,0,0,0.460697
0,0,0,0.442492
0,0,0,0.425219
0,0,0,0.408735
0,0,0,0.392778
0,0,0,0.377416
0,0,0,0.362723
0,0,0,0.348739
0,0,0,0.335391
0,0,0,0.322681
0,0,0,0.31051
0,0,0,0.298844
0,0,0,0.287539
0,0,0,0.276568
0,0,0,0.265943
0,0,0,0.255736
0,0,0,0.245906
0,0,0,0.23647
0,0,0,0.227379
0,0,0,0.218634
0,0,0,0.21017
0,0,0,0.20197
0,0,0,0.193948
0,0,0,0.186114
0,0,0,0.178481
0,0,0,0.17109
0,0,0,0.163914
0,0,0,0.156972
0,0,0,0.150233
0,0,0,0.143707
0,0,0,0.137358
0,0,0,0.131186
0,0,0,0.125146
0,0,0,0.119229
0,0,0,0.11342
0,0,0,0.107759
0,0,0,0.102231
0,0,0,0.0968555
0,0,0,0.0916104
0,0,0,0.0865108
0,0,0,0.0815322
0,0,0,0.0766857
0,0,0,0.0719424
0,0,0,0.0673086
0,0,0,0.06275
0,0,0,0.0582745
0,0,0,0.0538758
0,0,0,0.0495779
0,0,0,0.0453652
0,0,0,0.0412523
0,0,0,0.0372221
0,0,0,0.0332865
0,0,0,0.0294267
0,0,0,0.0256519
0,0,0,0.0219407
0,0,0,0.0182994
0,0,0,0.0147015
0,0,0,0.011154
0,0,0,0.00764747
0,0,0,0.00420499
0,0,0,0.000813537
0,0,0,-0.00251279
0,0,0,-0.00578748
0,0,0,-0.00899948
0,0,0,-0.0121613
0,0,0,-0.0152669
0,0,0,-0.0183256
0,0,0,-0.0213401
0,0,0,-0.0243141
0,0,0,-0.0272612
0,0,0,-0.0301759
0,0,0,-0.0330613
0,0,0,-0.0359049
0,0,0,-0.0387142
0,0,0,-0.0414809
0,0,0,-0.0442131
0,0,0,-0.0469038
0,0,0,-0.0495618
0,0,0,-0.0521815
0,0,0,-0.0547727
0,0,0,-0.0573312
0,0,0,-0.0598686
0,0,0,-0.0623823
0,0,0,-0.0648817
0,0,0,-0.0673547
0,0,0,-0.0698071
0,0,0,-0.0722309
0,0,0,-0.0746339
0,0,0,-0.0770088
0,0,0,-0.0793645
0,0,0,-0.0816943
0,0,0,-0.0840079
0,0,0,-0.0862997
0,0,0,-0.0885809
0,0,0,-0.090847
0,0,0,-0.0931115
0,0,0,-0.0953672
0,0,0,-0.0976181
0,0,0,-0.099852
0,0,0,-0.102077
0,0,0,-0.104283
0,0,0,-0.106478
0,0,0,-0.108654
0,0,0,-0.110818
0,0,0,-0.112966
0,0,0,-0.115101
0,0,0,-0.117225
0,0,0,-0.119337
0,0,0,-0.121443
0,0,0,-0.12354
0,0,0,-0.12563
0,0,0,-0.127705
0,0,0,-0.12977
0,0,0,-0.131819
0,0,0,-0.133857
0,0,0,-0.135877
0,0,0,-0.137885
0,0,0,-0.139876
0,0,0,-0.141854
0,0,0,-0.143816
0,0,0,-0.145766
0,0,0,-0.1477
0,0,0,-0.149623
0,0,0,-0.15153
0,0,0,-0.153427
0,0,0,-0.155308
0,0,0,-0.15718
0,0,0,-0.159038
0,0,0,-0.160889
0,0,0,-0.162727
0,0,0,-0.164561
0,0,0,-0.166385
0,0,0,-0.168208
0,0,0,-0.170026
0,0,0,-0.171848
0,0,0,-0.173667
0,0,0,-0.175486
0,0,0,-0.177299
0,0,0,-0.179109
0,0,0,-0.180914
0,0,0,-0.182715
0,0,0,-0.184513
0,0,0,-0.186306
0,0,0,-0.188099
0,0,0,-0.189887
0,0,0,-0.191677
0,0,0,-0.193465
0,0,0,-0.195256
0,0,0,-0.197043
0,0,0,-0.198831
0,0,0,-0.200614
0,0,0,-0.202398
0,0,0,-0.204177
0,0,0,-0.205957
0,0,0,-0.207733
0,0,0,-0.209512
0,0,0,-0.211288
0,0,0,-0.213069
0,0,0,-0.214851
0,0,0,-0.216638
0,0,0,-0.218423
0,0,0,-0.220211
0,0,0,-0.221995
0,0,0,-0.223782
0,0,0,-0.225565
0,0,0,-0.227349
0,0,0,-0.229129
0,0,0,-0.230908
0,0,0,-0.232686
0,0,0,-0.234459
0,0,0,-0.236233
0,0,0,-0.238004
0,0,0,-0.239779
0,0,0,-0.241555
0,0,0,-0.243338
0,0,0,-0.245124
0,0,0,-0.246921
0,0,0,-0.248726
0,0,0,-0.250547
0,0,0,-0.252383
0,0,0,-0.254243
0,0,0,-0.256125
0,0,0,-0.258031
0,0,0,-0.259953
0,0,0,-0.261895
0,0,0,-0.26385
0,0,0,-0.265824
0,0,0,-0.26781
0,0,0,-0.269814
0,0,0,-0.271831
0,0,0,-0.273867
0,0,0,-0.275917
0,0,0,-0.277987
0,0,0,-0.280072
0,0,0,-0.282178
0,0,0,-0.284304
0,0,0,-0.286452
0,0,0,-0.288626
0,0,0,-0.290826
0,0,0,-0.293061
0,0,0,-0.295331
0,0,0,-0.297648
0,0,0,-0.300009
0,0,0,-0.302413
0,0,0,-0.304848
0,0,0,-0.307315
0,0,0,-0.309807
0,0,0,-0.312327
0,0,0,-0.314868
0,0,0,-0.317436
0,0,0,-0.320023
0,0,0,-0.322638
0,0,0,-0.325271
0,0,0,-0.327924
0,0,0,-0.330581
0,0,0,-0.333247
0,0,0,-0.335909
0,0,0,-0.338572
0,0,0,-0.341223
0,0,0,-0.343866
0,0,0,-0.346492
0,0,0,-0.3491
0,0,0,-0.351682
0,0,0,-0.354227
0,0,0,-0.356731
0,0,0,-0.359179
0,0,0,-0.361569
0,0,0,-0.363886
0,0,0,-0.366121
0,0,0,-0.368254
0,0,0,-0.37028
0,0,0,-0.372191
0,0,0,-0.373995
0,0,0,-0.375685
0,0,0,-0.377261
0,0,0,-0.378712
0,0,0,-0.380038
0,0,0,-0.381224
0,0,0,-0.382268
0,0,0,-0.383155
0,0,0,-0.383893
0,0,0,-0.384468
0,0,0,-0.384885
0,0,0,-0.385126
0,0,0,-0.385191
0,0,0,-0.385058
0,0,0,-0.384723
0,0,0,-0.384168
0,0,0,-0.3834
0,0,0,-0.38243
0,0,0,-0.381253
0,0,0,-0.379877
0,0,0,-0.378292
0,0,0,-0.376498
0,0,0,-0.374485
0,0,0,-0.372254
0,0,0,-0.369805
0,0,0,-0.36715
0,0,0,-0.364284
0,0,0,-0.361212
0,0,0,-0.357928
0,0,0,-0.354433
0,0,0,-0.350717
0,0,0,-0.346788
0,0,0,-0.342655
0,0,0,-0.338329
0,0,0,-0.333811
0,0,0,-0.329109
0,0,0,-0.324219
0,0,0,-0.319152
0,0,0,-0.313901
0,0,0,-0.308485
0,0,0,-0.302905
0,0,0,-0.297171
0,0,0,-0.291286
0,0,0,-0.285254
0,0,0,-0.279083
0,0,0,-0.272777
0,0,0,-0.266347
0,0,0,-0.259802
0,0,0,-0.253148
0,0,0,-0.246393
0,0,0,-0.239544
0,0,0,-0.232607
0,0,0,-0.225592
0,0,0,-0.218511
