Point_ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Y_Plus
0,0.856274,0,2.40606,-17.6135,1.2256e-07,0,0,0,0,0,0,1,0,0,1,0.962422,-0.0524173,-8.16404e-17,-0.000143396,0,0.000143396,1.13689,0.445727
1,0.855123,0,2.40305,1.39863,1.22569e-07,0,0,0,0,0,0,0.998654,0.000194975,0,0.998654,0.961222,-0.0548179,0.000319145,-4.63248e-05,0,0.00032249,1.137,0.479018
2,0.856284,0,2.40653,1.765,1.22577e-07,0,0,0,0,0,0,0.997309,0.000390634,0,0.997309,0.962611,-0.0520399,0.000177277,-2.5729e-05,0,0.000179134,1.1371,0.357227
3,0.856738,0,2.40795,1.75382,1.22583e-07,0,0,0,0,0,0,0.995963,0.000585561,0,0.995963,0.96318,-0.0509025,5.58509e-05,-8.07193e-06,0,5.64312e-05,1.13717,0.200544
4,0.856614,0,2.40768,0.995449,1.22586e-07,0,0,0,0,0,0,0.994617,0.000779617,0,0.994618,0.963071,-0.0511187,-3.55877e-05,5.12905e-06,0,3.59554e-05,1.13721,0.160063
5,0.856556,0,2.40754,0.164802,1.22587e-07,0,0,0,0,0,0,0.993272,0.000973484,0,0.993272,0.963018,-0.0512263,-0.000101083,1.45646e-05,0,0.000102127,1.13722,0.269749
6,0.856217,0,2.40658,-0.51978,1.22586e-07,0,0,0,0,0,0,0.991926,0.00116744,0,0.991926,0.962633,-0.0519954,-0.000150502,2.16744e-05,0,0.000152055,1.13722,0.329083
7,0.855818,0,2.40543,-1.04654,1.22585e-07,0,0,0,0,0,0,0.99058,0.00136111,0,0.990581,0.962173,-0.0529162,-0.000188476,2.70878e-05,0,0.000190412,1.1372,0.368175
8,0.855334,0,2.40403,-1.47867,1.22584e-07,0,0,0,0,0,0,0.989234,0.0015543,0,0.989235,0.96161,-0.0540406,-0.000219175,3.14193e-05,0,0.000221415,1.13718,0.396912
9,0.8548,0,2.40247,-1.8502,1.22581e-07,0,0,0,0,0,0,0.987888,0.001747,0,0.98789,0.960988,-0.0552857,-0.000244702,3.49949e-05,0,0.000247191,1.13715,0.419256
10,0.854231,0,2.4008,-2.18099,1.22579e-07,0,0,0,0,0,0,0.986542,0.00193928,0,0.986544,0.960322,-0.0566174,-0.000266408,3.80226e-05,0,0.000269107,1.13712,0.43731
11,0.853637,0,2.39907,-2.48069,1.22576e-07,0,0,0,0,0,0,0.985196,0.00213123,0,0.985198,0.959628,-0.0580061,-0.000285142,4.06372e-05,0,0.000288023,1.13709,0.452271
12,0.853025,0,2.39728,-2.75168,1.22574e-07,0,0,0,0,0,0,0.98385,0.00232296,0,0.983853,0.958911,-0.05944,-0.000301427,4.29108e-05,0,0.000304466,1.13706,0.464845
13,0.85241,0,2.39548,-3.0002,1.22571e-07,0,0,0,0,0,0,0.982504,0.0025145,0,0.982507,0.95819,-0.0608807,-0.000315711,4.48846e-05,0,0.000318886,1.13702,0.475565
14,0.851782,0,2.39364,-3.22129,1.22568e-07,0,0,0,0,0,0,0.981157,0.00270573,0,0.981161,0.957455,-0.0623515,-0.00032816,4.65645e-05,0,0.000331448,1.13699,0.484674
