Point_ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Y_Plus
0,0.936724,0,2.93182,-99.506,1.21328e-07,0,0,0,0,0,0,1,0,0,1,1.17273,0.113314,-0.000276245,-0.00283338,0,0.00284681,1.12174,2.29385
1,0.940007,0,2.94236,106.234,1.21336e-07,0,0,0,0,0,0,0.992739,0.00151925,0,0.99274,1.17695,0.121747,0.000382678,-7.90306e-05,0,0.000390753,1.12185,0.558448
2,0.925158,0,2.89578,35.2544,1.21333e-07,0,0,0,0,0,0,0.985523,0.00298981,0,0.985527,1.15831,0.0844811,-6.87912e-05,1.38909e-05,0,7.01796e-05,1.12181,0.234796
3,0.922041,0,2.88586,11.7387,1.21328e-07,0,0,0,0,0,0,0.978353,0.00442412,0,0.978363,1.15434,0.0765451,-0.000182842,3.62772e-05,0,0.000186406,1.12174,0.382032
4,0.919982,0,2.87926,5.67588,1.21323e-07,0,0,0,0,0,0,0.971231,0.0058254,0,0.971249,1.1517,0.0712648,-0.000200037,3.90638e-05,0,0.000203816,1.12168,0.399044
5,0.916783,0,2.86909,4.54123,1.21318e-07,0,0,0,0,0,0,0.964156,0.00719657,0,0.964183,1.14764,0.063133,-0.000197314,3.79656e-05,0,0.000200933,1.12162,0.395539
6,0.913778,0,2.85954,4.52276,1.21313e-07,0,0,0,0,0,0,0.957129,0.00853886,0,0.957167,1.14382,0.0554893,-0.000192611,3.65464e-05,0,0.000196048,1.12156,0.390075
7,0.910382,0,2.84877,4.58785,1.21309e-07,0,0,0,0,0,0,0.950149,0.00985441,0,0.9502,1.13951,0.0468749,-0.000190835,3.57526e-05,0,0.000194155,1.12151,0.38748
8,0.907016,0,2.83813,4.55555,1.21305e-07,0,0,0,0,0,0,0.943216,0.0111454,0,0.943282,1.13525,0.0383613,-0.000190737,3.53074e-05,0,0.000193977,1.12146,0.386597
9,0.903473,0,2.82698,4.39751,1.21303e-07,0,0,0,0,0,0,0.936331,0.0124123,0,0.936413,1.13079,0.029442,-0.000192174,3.51491e-05,0,0.000195362,1.12144,0.387223
10,0.899869,0,2.81568,4.14292,1.21302e-07,0,0,0,0,0,0,0.929492,0.0136555,0,0.929593,1.12627,0.0204006,-0.000194542,3.5162e-05,0,0.000197694,1.12143,0.388752
11,0.89614,0,2.80401,3.81755,1.21302e-07,0,0,0,0,0,0,0.9227,0.0148758,0,0.92282,1.1216,0.0110664,-0.000197866,3.53516e-05,0,0.000200999,1.12143,0.391175
12,0.892331,0,2.7921,3.45254,1.21303e-07,0,0,0,0,0,0,0.915955,0.0160741,0,0.916096,1.11684,0.00153829,-0.000202024,3.56942e-05,0,0.000205153,1.12143,0.394354
13,0.888421,0,2.77987,3.0703,1.21303e-07,0,0,0,0,0,0,0.909257,0.0172512,0,0.90942,1.11195,-0.00824733,-0.000207091,3.61906e-05,0,0.00021023,1.12143,0.398328
14,0.884426,0,2.76736,2.6863,1.21302e-07,0,0,0,0,0,0,0.902604,0.0184074,0,0.902791,1.10694,-0.0182552,-0.000213085,3.68292e-05,0,0.000216244,1.12143,0.403078
