Points_0,Points_1,Points_2,Pressure_Coefficient
1,0,0,0.21845
0.998654,0.000194975,0,0.220353
0.997309,0.000390634,0,0.214973
0.995963,0.000585561,0,0.209493
0.994617,0.000779617,0,0.209461
0.993272,0.000973484,0,0.207688
0.991926,0.00116744,0,0.206381
0.99058,0.00136111,0,0.20472
0.989234,0.0015543,0,0.203207
0.987888,0.001747,0,0.201611
0.986542,0.00193928,0,0.200099
0.985196,0.00213123,0,0.198503
0.98385,0.00232296,0,0.196956
0.982504,0.0025145,0,0.195367
0.981157,0.00270573,0,0.193765
0.979811,0.00289654,0,0.192215
0.978465,0.00308689,0,0.190595
0.977119,0.00327687,0,0.189016
0.975772,0.00346661,0,0.187406
0.974426,0.0036562,0,0.185798
0.973079,0.00384561,0,0.184171
0.971733,0.00403475,0,0.182539
0.970386,0.00422352,0,0.180932
0.96904,0.00441184,0,0.179273
0.967693,0.00459975,0,0.177682
0.966346,0.00478729,0,0.175996
0.965,0.0049745,0,0.174404
0.963653,0.00516142,0,0.172727
0.962306,0.00534807,0,0.171094
0.960959,0.00553444,0,0.169435
0.959612,0.00572054,0,0.167803
0.958265,0.00590635,0,0.16611
0.956918,0.00609189,0,0.164483
0.955571,0.00627712,0,0.162807
0.954224,0.00646204,0,0.161112
0.952877,0.00664662,0,0.159507
0.95153,0.00683087,0,0.157778
0.950183,0.00701476,0,0.156135
0.948835,0.00719833,0,0.154477
0.947488,0.00738157,0,0.152786
0.946141,0.0075645,0,0.1511
0.944793,0.00774713,0,0.149482
0.943446,0.00792947,0,0.14773
0.942099,0.00811152,0,0.146122
0.940751,0.0082933,0,0.144416
0.939404,0.0084748,0,0.142724
0.938056,0.00865603,0,0.141073
0.936708,0.00883701,0,0.139362
0.935361,0.0090177,0,0.137696
0.934013,0.0091981,0,0.136004
0.932665,0.00937819,0,0.134314
0.931318,0.00955795,0,0.132653
0.92997,0.00973737,0,0.130944
0.928622,0.00991644,0,0.129271
0.927274,0.0100952,0,0.12761
0.925926,0.0102736,0,0.125914
0.924578,0.0104517,0,0.124244
0.92323,0.0106295,0,0.12257
0.921882,0.0108071,0,0.12089
0.920534,0.0109844,0,0.119202
0.919186,0.0111615,0,0.117556
0.917838,0.0113383,0,0.115845
0.916489,0.0115148,0,0.114208
0.915141,0.0116911,0,0.112511
0.913793,0.011867,0,0.110848
0.912445,0.0120427,0,0.109177
0.911096,0.0122181,0,0.107506
0.909748,0.0123932,0,0.105818
0.9084,0.012568,0,0.104156
0.907051,0.0127425,0,0.102516
0.905703,0.0129168,0,0.100821
0.904354,0.0130908,0,0.0992088
0.903006,0.0132646,0,0.0975039
0.901657,0.0134381,0,0.0958721
0.900308,0.0136113,0,0.094233
0.89896,0.0137842,0,0.0925454
0.897611,0.0139567,0,0.0909583
0.896262,0.014129,0,0.0892493
0.894913,0.014301,0,0.0876652
0.893565,0.0144726,0,0.086016
0.892216,0.0146438,0,0.0843875
0.890867,0.0148148,0,0.0827799
0.889518,0.0149855,0,0.0811569
0.888169,0.0151559,0,0.0795314
0.88682,0.0153261,0,0.0779217
0.885471,0.0154961,0,0.076315
0.884122,0.0156658,0,0.0746842
0.882773,0.0158353,0,0.0730839
0.881424,0.0160046,0,0.0714629
0.880075,0.0161736,0,0.0698486
0.878725,0.0163424,0,0.0682747
0.877376,0.0165109,0,0.0666094
0.876027,0.0166791,0,0.0650686
0.874678,0.0168471,0,0.0634394
0.873328,0.0170147,0,0.0618458
0.871979,0.017182,0,0.0602743
0.870629,0.0173491,0,0.0586905
0.86928,0.0175158,0,0.0571172
0.867931,0.0176822,0,0.055549
0.866581,0.0178484,0,0.0539954
0.865231,0.0180143,0,0.0523947
0.863882,0.0181798,0,0.0508653
0.862532,0.0183451,0,0.0493024
0.861183,0.0185101,0,0.0477464
0.859833,0.0186749,0,0.0462053
0.858483,0.0188394,0,0.0446591
0.857134,0.0190036,0,0.0431182
0.855784,0.0191676,0,0.0415683
0.854434,0.0193313,0,0.0400641
0.853084,0.0194948,0,0.0384528
0.851734,0.019658,0,0.0370028
0.850384,0.019821,0,0.0354158
0.849034,0.0199838,0,0.0338749
0.847684,0.0201463,0,0.0324152
0.846334,0.0203086,0,0.0308
0.844984,0.0204706,0,0.0293383
0.843634,0.0206323,0,0.0278185
0.842284,0.0207938,0,0.0262772
0.840934,0.020955,0,0.0247972
0.839584,0.0211159,0,0.0232905
0.838234,0.0212765,0,0.02179
0.836884,0.0214369,0,0.0203122
0.835533,0.021597,0,0.0188081
0.834183,0.0217568,0,0.017331
0.832833,0.0219163,0,0.0158628
0.831483,0.0220756,0,0.0143641
0.830132,0.0222347,0,0.0128974
0.828782,0.0223934,0,0.0114585
0.827431,0.0225519,0,0.00993843
0.826081,0.0227101,0,0.00853842
0.82473,0.0228681,0,0.00702665
0.82338,0.0230258,0,0.00559367
0.822029,0.0231833,0,0.00414161
0.820679,0.0233405,0,0.00267696
0.819328,0.0234975,0,0.0012243
0.817977,0.0236542,0,-0.000198111
0.816627,0.0238107,0,-0.00168887
0.815276,0.0239669,0,-0.00311351
0.813925,0.0241229,0,-0.00453051
0.812575,0.0242786,0,-0.00601453
0.811224,0.0244341,0,-0.00741488
0.809873,0.0245893,0,-0.00886613
0.808522,0.0247443,0,-0.0102759
0.807171,0.024899,0,-0.0117077
0.80582,0.0250534,0,-0.0131207
0.80447,0.0252075,0,-0.0145367
0.803119,0.0253614,0,-0.0159552
0.801768,0.025515,0,-0.0173372
0.800417,0.0256684,0,-0.0187921
0.799065,0.0258215,0,-0.0201492
0.797714,0.0259743,0,-0.0215722
0.796363,0.0261268,0,-0.0230108
0.795012,0.0262791,0,-0.0243283
0.793661,0.0264311,0,-0.0258016
0.79231,0.0265828,0,-0.0271361
0.790959,0.0267343,0,-0.0285629
0.789607,0.0268855,0,-0.0299529
0.788256,0.0270364,0,-0.031295
0.786905,0.0271871,0,-0.0327085
0.785553,0.0273375,0,-0.0340445
0.784202,0.0274877,0,-0.0354295
0.782851,0.0276377,0,-0.0368101
0.781499,0.0277874,0,-0.0381648
0.780148,0.0279369,0,-0.0395211
0.778796,0.0280862,0,-0.0409136
0.777445,0.0282352,0,-0.0422172
0.776093,0.028384,0,-0.043605
0.774742,0.0285325,0,-0.0449409
0.77339,0.0286808,0,-0.0462864
0.772038,0.0288288,0,-0.047636
0.770687,0.0289766,0,-0.0490337
0.769335,0.0291241,0,-0.0502967
0.767983,0.0292713,0,-0.0516838
0.766632,0.0294183,0,-0.0530412
0.76528,0.029565,0,-0.0543358
0.763928,0.0297114,0,-0.0556681
0.762576,0.0298576,0,-0.0570203
0.761224,0.0300034,0,-0.0583196
0.759872,0.0301491,0,-0.0596358
0.758521,0.0302944,0,-0.0609635
0.757169,0.0304395,0,-0.062248
0.755817,0.0305844,0,-0.0636022
0.754465,0.030729,0,-0.0648872
0.753113,0.0308734,0,-0.0661918
0.751761,0.0310175,0,-0.0675148
0.750409,0.0311614,0,-0.068799
0.749056,0.031305,0,-0.0701069
0.747704,0.0314483,0,-0.0714027
0.746352,0.0315914,0,-0.072693
0.745,0.0317342,0,-0.0740016
0.743648,0.0318768,0,-0.0753015
0.742296,0.032019,0,-0.0765643
0.740943,0.032161,0,-0.0778666
0.739591,0.0323028,0,-0.0791517
0.738239,0.0324442,0,-0.0804369
0.736886,0.0325854,0,-0.0816896
0.735534,0.0327263,0,-0.0829832
0.734182,0.0328669,0,-0.0842417
0.732829,0.0330073,0,-0.0855336
0.731477,0.0331474,0,-0.0867476
0.730124,0.0332873,0,-0.088078
0.728772,0.033427,0,-0.0893062
0.727419,0.0335663,0,-0.0905678
0.726067,0.0337055,0,-0.0918261
0.724714,0.0338444,0,-0.0931102
0.723361,0.0339831,0,-0.0943387
0.722009,0.0341215,0,-0.0956396
0.720656,0.0342597,0,-0.0968921
0.719303,0.0343976,0,-0.0981206
0.717951,0.0345353,0,-0.0994057
0.716598,0.0346727,0,-0.100633
0.715245,0.0348098,0,-0.101884
0.713892,0.0349467,0,-0.103148
0.71254,0.0350834,0,-0.104366
0.711187,0.0352197,0,-0.105668
0.709834,0.0353558,0,-0.106878
0.708481,0.0354917,0,-0.108136
0.707128,0.0356272,0,-0.109391
0.705775,0.0357625,0,-0.110616
0.704422,0.0358976,0,-0.111859
0.703069,0.0360323,0,-0.113077
0.701716,0.0361668,0,-0.114329
0.700363,0.036301,0,-0.115539
0.69901,0.0364349,0,-0.116775
0.697657,0.0365686,0,-0.117989
0.696304,0.0367019,0,-0.1192
0.694951,0.036835,0,-0.120446
0.693597,0.0369678,0,-0.121628
0.692244,0.0371004,0,-0.122903
0.690891,0.0372326,0,-0.124109
0.689538,0.0373646,0,-0.125293
0.688184,0.0374964,0,-0.126598
0.686831,0.0376278,0,-0.127756
0.685478,0.037759,0,-0.129019
0.684124,0.03789,0,-0.13022
0.682771,0.0380207,0,-0.131455
0.681417,0.0381511,0,-0.132676
0.680064,0.0382813,0,-0.133904
0.67871,0.0384111,0,-0.135135
0.677357,0.0385408,0,-0.136328
0.676003,0.0386701,0,-0.137615
0.67465,0.0387992,0,-0.138811
0.673296,0.038928,0,-0.140056
0.671943,0.0390565,0,-0.141265
0.670589,0.0391847,0,-0.142534
0.669235,0.0393126,0,-0.143741
0.667882,0.0394403,0,-0.144964
0.666528,0.0395676,0,-0.14622
0.665174,0.0396947,0,-0.147384
0.66382,0.0398215,0,-0.148678
0.662467,0.039948,0,-0.149867
0.661113,0.0400742,0,-0.151079
0.659759,0.0402001,0,-0.15236
0.658405,0.0403258,0,-0.153547
0.657051,0.0404512,0,-0.154809
0.655697,0.0405763,0,-0.156013
0.654343,0.0407012,0,-0.157278
0.652989,0.0408258,0,-0.15854
0.651635,0.0409501,0,-0.159701
0.650281,0.0410741,0,-0.161079
0.648927,0.0411979,0,-0.162233
0.647573,0.0413214,0,-0.16354
0.646219,0.0414446,0,-0.164792
0.644865,0.0415675,0,-0.166043
0.643511,0.0416901,0,-0.167325
0.642156,0.0418125,0,-0.168644
0.640802,0.0419345,0,-0.169854
0.639448,0.0420563,0,-0.17122
0.638094,0.0421778,0,-0.172497
0.636739,0.042299,0,-0.173748
0.635385,0.0424199,0,-0.17511
0.634031,0.0425404,0,-0.176361
0.632676,0.0426607,0,-0.177706
0.631322,0.0427807,0,-0.178983
0.629968,0.0429004,0,-0.18036
0.628613,0.0430198,0,-0.181601
0.627259,0.0431389,0,-0.183034
0.625904,0.0432577,0,-0.1843
0.62455,0.0433761,0,-0.185684
0.623195,0.0434943,0,-0.187033
0.621841,0.0436121,0,-0.188364
0.620486,0.0437297,0,-0.189794
0.619131,0.0438469,0,-0.191143
0.617777,0.0439639,0,-0.192506
0.616422,0.0440805,0,-0.193948
0.615067,0.0441968,0,-0.195283
0.613713,0.0443128,0,-0.196749
0.612358,0.0444286,0,-0.198133
0.611003,0.044544,0,-0.199577
0.609648,0.0446591,0,-0.20104
0.608293,0.044774,0,-0.202494
0.606938,0.0448885,0,-0.203934
0.605584,0.0450027,0,-0.205451
0.604229,0.0451167,0,-0.206947
0.602874,0.0452303,0,-0.208407
0.601519,0.0453436,0,-0.21
0.600164,0.0454566,0,-0.211503
0.598809,0.0455693,0,-0.21304
0.597454,0.0456817,0,-0.214629
0.596099,0.0457937,0,-0.216202
0.594743,0.0459054,0,-0.217792
0.593388,0.0460169,0,-0.219429
0.592033,0.0461279,0,-0.221008
0.590678,0.0462387,0,-0.222745
0.589323,0.0463491,0,-0.224348
0.587968,0.0464593,0,-0.226072
0.586612,0.046569,0,-0.227757
0.585257,0.0466785,0,-0.229484
0.583902,0.0467877,0,-0.231222
0.582546,0.0468965,0,-0.233006
0.581191,0.047005,0,-0.234813
0.579836,0.0471132,0,-0.236563
0.57848,0.0472211,0,-0.238503
0.577125,0.0473286,0,-0.240262
0.575769,0.0474359,0,-0.242241
0.574414,0.0475428,0,-0.244108
0.573058,0.0476494,0,-0.246055
0.571703,0.0477556,0,-0.248051
0.570347,0.0478616,0,-0.249979
