Points_0,Points_1,Points_2,Pressure_Coefficient
1,0,0,0.230272
0.992739,0.00151925,0,0.20885
0.985523,0.00298981,0,0.179602
0.978353,0.00442412,0,0.162943
0.971231,0.0058254,0,0.14634
0.964156,0.00719657,0,0.128325
0.957129,0.00853886,0,0.11164
0.950149,0.00985441,0,0.0950617
0.943216,0.0111454,0,0.0790204
0.936331,0.0124123,0,0.0632971
0.929492,0.0136555,0,0.0480218
0.9227,0.0148758,0,0.0331232
0.915955,0.0160741,0,0.0185894
0.909257,0.0172512,0,0.00438283
0.902604,0.0184074,0,-0.00946484
0.895997,0.0195429,0,-0.0229719
0.889435,0.0206585,0,-0.0361825
0.882919,0.0217549,0,-0.0491464
0.876448,0.0228325,0,-0.061861
0.870022,0.0238914,0,-0.074323
0.86364,0.0249318,0,-0.0865397
0.857303,0.0259541,0,-0.0985494
0.851009,0.0269588,0,-0.110377
0.844759,0.0279463,0,-0.122045
0.838553,0.0289166,0,-0.133562
0.832389,0.0298701,0,-0.144941
0.826269,0.0308068,0,-0.156174
0.82019,0.0317268,0,-0.167256
0.814155,0.0326299,0,-0.178171
0.80816,0.0335165,0,-0.188934
0.802208,0.0343865,0,-0.199551
0.796297,0.0352404,0,-0.210041
0.790427,0.0360781,0,-0.220401
0.784597,0.0368999,0,-0.230625
0.778808,0.0377056,0,-0.240696
0.77306,0.0384955,0,-0.250611
0.767351,0.0392698,0,-0.260381
0.761682,0.0400286,0,-0.270023
0.756052,0.0407722,0,-0.279554
0.750462,0.0415009,0,-0.288974
0.74491,0.0422147,0,-0.29827
0.739397,0.0429137,0,-0.307429
0.733922,0.0435979,0,-0.316434
0.728485,0.0442674,0,-0.325285
0.723086,0.0449225,0,-0.333984
0.717725,0.0455634,0,-0.342532
0.712401,0.0461902,0,-0.350934
0.707114,0.0468031,0,-0.359194
0.701864,0.0474024,0,-0.367315
0.696651,0.0479881,0,-0.375297
0.691474,0.0485606,0,-0.383138
0.686333,0.0491198,0,-0.390837
0.681227,0.0496661,0,-0.398385
0.676158,0.0501994,0,-0.405773
0.671124,0.0507198,0,-0.412994
0.666124,0.0512276,0,-0.420037
0.66116,0.0517227,0,-0.426903
0.656231,0.0522054,0,-0.433585
0.651335,0.0526758,0,-0.440093
0.646474,0.053134,0,-0.446449
0.641647,0.0535801,0,-0.452689
0.636854,0.0540142,0,-0.458839
0.632094,0.0544364,0,-0.464924
0.627367,0.0548466,0,-0.470998
0.622674,0.055245,0,-0.477303
0.618013,0.0556315,0,-0.484405
0.613385,0.0560062,0,-0.492999
0.608789,0.0563692,0,-0.503167
0.604225,0.0567205,0,-0.513861
0.599693,0.0570602,0,-0.524449
0.595193,0.0573884,0,-0.539291
0.590724,0.057705,0,-0.571005
0.586286,0.0580102,0,-0.635127
0.58188,0.058304,0,-0.733824
0.577504,0.0585865,0,-0.83907
0.573159,0.0588577,0,-0.919963
0.568844,0.0591177,0,-0.96734
0.564559,0.0593668,0,-0.988821
0.560305,0.0596051,0,-0.995669
0.55608,0.0598328,0,-0.995305
0.551885,0.0600501,0,-0.992216
0.547719,0.0602572,0,-0.988418
0.543582,0.0604544,0,-0.984734
0.539475,0.0606418,0,-0.981259
0.535396,0.0608197,0,-0.977916
0.531346,0.0609883,0,-0.97459
0.527324,0.0611479,0,-0.971251
0.523331,0.0612986,0,-0.967893
0.519366,0.0614408,0,-0.964532
0.515429,0.0615746,0,-0.961164
0.511519,0.0617002,0,-0.957762
0.507637,0.0618179,0,-0.954278
0.503782,0.0619278,0,-0.950668
0.499954,0.0620302,0,-0.946906
0.496154,0.0621252,0,-0.943018
0.49238,0.0622132,0,-0.939081
0.488632,0.0622942,0,-0.935214
0.484912,0.0623685,0,-0.931531
0.481217,0.0624362,0,-0.928103
0.477548,0.0624977,0,-0.924915
0.473905,0.062553,0,-0.921884
0.470288,0.0626024,0,-0.918886
0.466697,0.0626459,0,-0.915848
0.46313,0.0626839,0,-0.912779
0.459589,0.0627164,0,-0.909741
0.456073,0.0627435,0,-0.906766
0.452581,0.0627656,0,-0.903842
0.449115,0.0627826,0,-0.900941
0.445672,0.0627948,0,-0.898071
0.442254,0.0628023,0,-0.895295
0.43886,0.0628052,0,-0.892693
0.43549,0.0628037,0,-0.890304
0.432143,0.0627979,0,-0.888085
0.42882,0.0627879,0,-0.885949
0.425521,0.0627738,0,-0.883808
0.422244,0.0627558,0,-0.88163
0.418991,0.0627339,0,-0.87944
0.415761,0.0627083,0,-0.877282
0.412553,0.0626791,0,-0.875162
0.409368,0.0626462,0,-0.873044
0.406205,0.0626099,0,-0.87088
0.403064,0.0625701,0,-0.868669
0.399946,0.0625271,0,-0.866466
0.396849,0.0624807,0,-0.864352
0.393774,0.0624312,0,-0.862381
0.390721,0.0623785,0,-0.860549
0.387689,0.0623228,0,-0.858788
