alpha,C_l,C_d,C_Eff,C_mz
-2.0,-0.338383,0.012886,-26.259159,0.0179377
-1.0,-0.169467,0.009475,-17.885386,0.00838072
0.5,0.084887,0.009252,9.174777,-0.00366678
1.0,0.169953,0.009483,17.921028,-0.00817449
1.5,0.254749,0.010500,24.262968,-0.0133398
2.0,0.338387,0.012896,26.239542,-0.0177999
2.5,0.419018,0.016918,24.768149,-0.0205958
2.57,0.430102,0.017611,24.410693,-0.0208295
2.6,0.434704,0.017924,24.252931,-0.0208696
3.0,0.492270,0.022469,21.909200,-0.0217958
3.5,0.540965,0.028673,18.866505,-0.0247165
3.75,0.549659,0.031643,17.370585,-0.0273592
4.0,0.545959,0.034420,15.861460,-0.0301076
5.0,0.501072,0.046305,10.821168,-0.0273412
6.5,0.455082,0.064791,7.023866,-0.0160163
8.0,0.455893,0.086634,5.262266,0.0022296
9.5,0.475134,0.111047,4.278668,0.0218726
11.0,0.512190,0.138908,3.687250,0.0439784
12.5,0.560962,0.170227,3.295387,0.0672764
13.0,0.577342,0.180865,3.192125,0.0742732
13.5,0.594134,0.191749,3.098498,0.0812598
14.0,0.611772,0.203027,3.013253,0.0885019
14.5,0.628375,0.214221,2.933305,0.0953143
15.0,0.642542,0.224893,2.857102,0.101152
16.0,0.677496,0.248635,2.724862,0.115252
17.0,0.709090,0.272299,2.604088,0.128024
20.0,0.796742,0.346222,2.301249,0.164332
22,0.849124,0.398170,2.132566,0.187877
