alpha,C_l,C_d,C_Eff,C_mz
-2,-0.084357,0.009633,-8.757147,0.0820149
-1,0.102507,0.009263,11.065805,0.0849736
0,0.287506,0.009347,30.757674,0.0878605
1,0.475169,0.009763,48.668684,0.089696
2,0.673760,0.011534,58.414833,0.0905506
2.5,0.772528,0.014670,52.662046,0.0919069
3,0.862989,0.020469,42.159916,0.0945751
3.5,0.930689,0.028387,32.785953,0.096714
3.75,0.955866,0.032682,29.247086,0.0970037
4,0.972087,0.037028,26.253056,0.0964075
4.5,0.983467,0.045356,21.683388,0.0926546
4.75,0.983988,0.049576,19.848149,0.0905947
5,0.982026,0.053657,18.301889,0.0882005
5.5,0.970153,0.061432,15.792371,0.0827945
5.75,0.961179,0.065147,14.754036,0.0799988
6,0.950190,0.068762,13.818615,0.0773214
6.5,0.925671,0.075916,12.193408,0.0729848
8,0.833689,0.097608,8.541163,0.0699433
8.75,0.787161,0.110453,7.126641,0.0772077
9.5,0.751270,0.125963,5.964223,0.0892929
10,0.736732,0.137790,5.346759,0.0981836
10.5,0.734286,0.149984,4.895744,0.105792
11,0.739584,0.162315,4.556461,0.112437
12.5,0.766469,0.197697,3.876994,0.127014
14,0.804313,0.233728,3.441235,0.1393
15,0.830942,0.258096,3.219501,0.146597
16,0.856680,0.282568,3.031770,0.1533
