Eddy_Viscosity,Mach,Nu_Tilde,Points_0,Points_1,Points_2,Pressure_Coefficient
0,0,0,1,0,0,0.264769
0,0,0,0.998654,0.000194975,0,0.263768
0,0,0,0.997309,0.000390634,0,0.251341
0,0,0,0.995963,0.000585561,0,0.246007
0,0,0,0.994617,0.000779617,0,0.243519
0,0,0,0.993272,0.000973484,0,0.238738
0,0,0,0.991926,0.00116744,0,0.235378
0,0,0,0.99058,0.00136111,0,0.23154
0,0,0,0.989234,0.0015543,0,0.228092
0,0,0,0.987888,0.001747,0,0.224548
0,0,0,0.986542,0.00193928,0,0.221208
0,0,0,0.985196,0.00213123,0,0.217798
0,0,0,0.98385,0.00232296,0,0.214534
0,0,0,0.982504,0.0025145,0,0.211188
0,0,0,0.981157,0.00270573,0,0.20796
0,0,0,0.979811,0.00289654,0,0.204813
0,0,0,0.978465,0.00308689,0,0.201657
0,0,0,0.977119,0.00327687,0,0.198612
0,0,0,0.975772,0.00346661,0,0.195549
0,0,0,0.974426,0.0036562,0,0.192531
0,0,0,0.973079,0.00384561,0,0.189494
0,0,0,0.971733,0.00403475,0,0.186522
0,0,0,0.970386,0.00422352,0,0.183592
0,0,0,0.96904,0.00441184,0,0.180691
0,0,0,0.967693,0.00459975,0,0.177887
0,0,0,0.966346,0.00478729,0,0.175009
0,0,0,0.965,0.0049745,0,0.172313
0,0,0,0.963653,0.00516142,0,0.169494
0,0,0,0.962306,0.00534807,0,0.166796
0,0,0,0.960959,0.00553444,0,0.16409
0,0,0,0.959612,0.00572054,0,0.16143
0,0,0,0.958265,0.00590635,0,0.158729
0,0,0,0.956918,0.00609189,0,0.15617
0,0,0,0.955571,0.00627712,0,0.153499
0,0,0,0.954224,0.00646204,0,0.150933
0,0,0,0.952877,0.00664662,0,0.148449
0,0,0,0.95153,0.00683087,0,0.145839
0,0,0,0.950183,0.00701476,0,0.143415
0,0,0,0.948835,0.00719833,0,0.140967
0,0,0,0.947488,0.00738157,0,0.138475
0,0,0,0.946141,0.0075645,0,0.136102
0,0,0,0.944793,0.00774713,0,0.133751
0,0,0,0.943446,0.00792947,0,0.131295
0,0,0,0.942099,0.00811152,0,0.129088
0,0,0,0.940751,0.0082933,0,0.126681
0,0,0,0.939404,0.0084748,0,0.124405
0,0,0,0.938056,0.00865603,0,0.122148
0,0,0,0.936708,0.00883701,0,0.119838
0,0,0,0.935361,0.0090177,0,0.117637
0,0,0,0.934013,0.0091981,0,0.115369
0,0,0,0.932665,0.00937819,0,0.113188
0,0,0,0.931318,0.00955795,0,0.111019
0,0,0,0.92997,0.00973737,0,0.108814
0,0,0,0.928622,0.00991644,0,0.106714
0,0,0,0.927274,0.0100952,0,0.10462
0,0,0,0.925926,0.0102736,0,0.102512
0,0,0,0.924578,0.0104517,0,0.100461
0,0,0,0.92323,0.0106295,0,0.0984131
0,0,0,0.921882,0.0108071,0,0.0963418
0,0,0,0.920534,0.0109844,0,0.0943352
0,0,0,0.919186,0.0111615,0,0.0923249
0,0,0,0.917838,0.0113383,0,0.0903068
0,0,0,0.916489,0.0115148,0,0.0883568
0,0,0,0.915141,0.0116911,0,0.0863601
0,0,0,0.913793,0.011867,0,0.0844146
0,0,0,0.912445,0.0120427,0,0.0824924
0,0,0,0.911096,0.0122181,0,0.0805404
0,0,0,0.909748,0.0123932,0,0.0785935
0,0,0,0.9084,0.012568,0,0.0767252
0,0,0,0.907051,0.0127425,0,0.074846
0,0,0,0.905703,0.0129168,0,0.0729732
0,0,0,0.904354,0.0130908,0,0.0711543
0,0,0,0.903006,0.0132646,0,0.069236
0,0,0,0.901657,0.0134381,0,0.0674549
0,0,0,0.900308,0.0136113,0,0.0656158
0,0,0,0.89896,0.0137842,0,0.0638019
0,0,0,0.897611,0.0139567,0,0.0620522
0,0,0,0.896262,0.014129,0,0.0602012
0,0,0,0.894913,0.014301,0,0.0585224
0,0,0,0.893565,0.0144726,0,0.0567589
0,0,0,0.892216,0.0146438,0,0.055056
0,0,0,0.890867,0.0148148,0,0.0533817
0,0,0,0.889518,0.0149855,0,0.0516969
0,0,0,0.888169,0.0151559,0,0.0499972
0,0,0,0.88682,0.0153261,0,0.0483616
0,0,0,0.885471,0.0154961,0,0.0466896
0,0,0,0.884122,0.0156658,0,0.0450163
0,0,0,0.882773,0.0158353,0,0.043368
0,0,0,0.881424,0.0160046,0,0.0416846
0,0,0,0.880075,0.0161736,0,0.0400625
0,0,0,0.878725,0.0163424,0,0.0384252
0,0,0,0.877376,0.0165109,0,0.0367305
0,0,0,0.876027,0.0166791,0,0.0351915
0,0,0,0.874678,0.0168471,0,0.0335145
0,0,0,0.873328,0.0170147,0,0.031925
0,0,0,0.871979,0.017182,0,0.0303652
0,0,0,0.870629,0.0173491,0,0.0287882
0,0,0,0.86928,0.0175158,0,0.0272481
0,0,0,0.867931,0.0176822,0,0.0257252
0,0,0,0.866581,0.0178484,0,0.0241976
0,0,0,0.865231,0.0180143,0,0.0226324
0,0,0,0.863882,0.0181798,0,0.0211655
0,0,0,0.862532,0.0183451,0,0.0196528
0,0,0,0.861183,0.0185101,0,0.0181647
0,0,0,0.859833,0.0186749,0,0.0166993
0,0,0,0.858483,0.0188394,0,0.015223
0,0,0,0.857134,0.0190036,0,0.0137605
0,0,0,0.855784,0.0191676,0,0.0123139
0,0,0,0.854434,0.0193313,0,0.0108538
0,0,0,0.853084,0.0194948,0,0.00934082
0,0,0,0.851734,0.019658,0,0.00799255
0,0,0,0.850384,0.019821,0,0.00643011
0,0,0,0.849034,0.0199838,0,0.00504432
0,0,0,0.847684,0.0201463,0,0.00362465
0,0,0,0.846334,0.0203086,0,0.00209767
0,0,0,0.844984,0.0204706,0,0.000755822
0,0,0,0.843634,0.0206323,0,-0.000689411
0,0,0,0.842284,0.0207938,0,-0.00213429
0,0,0,0.840934,0.020955,0,-0.0034914
0,0,0,0.839584,0.0211159,0,-0.00490204
0,0,0,0.838234,0.0212765,0,-0.00626911
0,0,0,0.836884,0.0214369,0,-0.0076343
0,0,0,0.835533,0.021597,0,-0.00901846
0,0,0,0.834183,0.0217568,0,-0.010356
0,0,0,0.832833,0.0219163,0,-0.0116978
0,0,0,0.831483,0.0220756,0,-0.0130867
0,0,0,0.830132,0.0222347,0,-0.0143802
0,0,0,0.828782,0.0223934,0,-0.0157202
0,0,0,0.827431,0.0225519,0,-0.0170758
0,0,0,0.826081,0.0227101,0,-0.0183377
