Eddy_Viscosity,Mach,Nu_Tilde,Points_0,Points_1,Points_2,Pressure_Coefficient
0,0,0,1,0,0,-0.703155
0,0,0,0.998654,0.000194975,0,-0.657444
0,0,0,0.997309,0.000390634,0,-0.665875
0,0,0,0.995963,0.000585561,0,-0.669259
0,0,0,0.994617,0.000779617,0,-0.667148
0,0,0,0.993272,0.000973484,0,-0.66592
0,0,0,0.991926,0.00116744,0,-0.664612
0,0,0,0.99058,0.00136111,0,-0.663365
0,0,0,0.989234,0.0015543,0,-0.662204
0,0,0,0.987888,0.001747,0,-0.661059
0,0,0,0.986542,0.00193928,0,-0.659989
0,0,0,0.985196,0.00213123,0,-0.658969
0,0,0,0.98385,0.00232296,0,-0.658034
0,0,0,0.982504,0.0025145,0,-0.657148
0,0,0,0.981157,0.00270573,0,-0.656336
0,0,0,0.979811,0.00289654,0,-0.655574
0,0,0,0.978465,0.00308689,0,-0.654871
0,0,0,0.977119,0.00327687,0,-0.654219
0,0,0,0.975772,0.00346661,0,-0.65362
0,0,0,0.974426,0.0036562,0,-0.653068
0,0,0,0.973079,0.00384561,0,-0.652562
0,0,0,0.971733,0.00403475,0,-0.652099
0,0,0,0.970386,0.00422352,0,-0.651681
0,0,0,0.96904,0.00441184,0,-0.651295
0,0,0,0.967693,0.00459975,0,-0.650962
0,0,0,0.966346,0.00478729,0,-0.650646
0,0,0,0.965,0.0049745,0,-0.65039
0,0,0,0.963653,0.00516142,0,-0.650143
0,0,0,0.962306,0.00534807,0,-0.649954
0,0,0,0.960959,0.00553444,0,-0.649774
0,0,0,0.959612,0.00572054,0,-0.649648
0,0,0,0.958265,0.00590635,0,-0.649526
0,0,0,0.956918,0.00609189,0,-0.649458
0,0,0,0.955571,0.00627712,0,-0.649395
0,0,0,0.954224,0.00646204,0,-0.649372
0,0,0,0.952877,0.00664662,0,-0.649371
0,0,0,0.95153,0.00683087,0,-0.649388
0,0,0,0.950183,0.00701476,0,-0.649436
0,0,0,0.948835,0.00719833,0,-0.649504
0,0,0,0.947488,0.00738157,0,-0.649592
0,0,0,0.946141,0.0075645,0,-0.6497
0,0,0,0.944793,0.00774713,0,-0.649837
0,0,0,0.943446,0.00792947,0,-0.649978
0,0,0,0.942099,0.00811152,0,-0.650157
0,0,0,0.940751,0.0082933,0,-0.650335
0,0,0,0.939404,0.0084748,0,-0.650544
0,0,0,0.938056,0.00865603,0,-0.650759
0,0,0,0.936708,0.00883701,0,-0.650998
0,0,0,0.935361,0.0090177,0,-0.651244
0,0,0,0.934013,0.0091981,0,-0.651512
0,0,0,0.932665,0.00937819,0,-0.651786
0,0,0,0.931318,0.00955795,0,-0.652083
0,0,0,0.92997,0.00973737,0,-0.65238
0,0,0,0.928622,0.00991644,0,-0.652703
0,0,0,0.927274,0.0100952,0,-0.653026
0,0,0,0.925926,0.0102736,0,-0.653369
0,0,0,0.924578,0.0104517,0,-0.653713
0,0,0,0.92323,0.0106295,0,-0.654075
0,0,0,0.921882,0.0108071,0,-0.654437
0,0,0,0.920534,0.0109844,0,-0.654817
0,0,0,0.919186,0.0111615,0,-0.6552
0,0,0,0.917838,0.0113383,0,-0.655594
0,0,0,0.916489,0.0115148,0,-0.655996
0,0,0,0.915141,0.0116911,0,-0.656404
0,0,0,0.913793,0.011867,0,-0.656818
0,0,0,0.912445,0.0120427,0,-0.657239
0,0,0,0.911096,0.0122181,0,-0.657663
0,0,0,0.909748,0.0123932,0,-0.658094
