Eddy_Viscosity,Mach,Nu_Tilde,Points_0,Points_1,Points_2,Pressure_Coefficient
0,0,0,1,0,0,0.20173
0,0,0,0.992739,0.00151925,0,0.188239
0,0,0,0.985523,0.00298981,0,0.158558
0,0,0,0.978353,0.00442412,0,0.145783
0,0,0,0.971231,0.0058254,0,0.132672
0,0,0,0.964156,0.00719657,0,0.117175
0,0,0,0.957129,0.00853886,0,0.10283
0,0,0,0.950149,0.00985441,0,0.0881963
0,0,0,0.943216,0.0111454,0,0.0739655
0,0,0,0.936331,0.0124123,0,0.0597772
0,0,0,0.929492,0.0136555,0,0.0458684
0,0,0,0.9227,0.0148758,0,0.0321327
0,0,0,0.915955,0.0160741,0,0.0186226
0,0,0,0.909257,0.0172512,0,0.00529682
0,0,0,0.902604,0.0184074,0,-0.00778643
0,0,0,0.895997,0.0195429,0,-0.0206434
0,0,0,0.889435,0.0206585,0,-0.033288
0,0,0,0.882919,0.0217549,0,-0.0457565
0,0,0,0.876448,0.0228325,0,-0.0580326
0,0,0,0.870022,0.0238914,0,-0.0701123
0,0,0,0.86364,0.0249318,0,-0.0819922
0,0,0,0.857303,0.0259541,0,-0.093701
0,0,0,0.851009,0.0269588,0,-0.105251
0,0,0,0.844759,0.0279463,0,-0.116655
0,0,0,0.838553,0.0289166,0,-0.127919
0,0,0,0.832389,0.0298701,0,-0.139051
0,0,0,0.826269,0.0308068,0,-0.15004
0,0,0,0.82019,0.0317268,0,-0.160882
0,0,0,0.814155,0.0326299,0,-0.171561
0,0,0,0.80816,0.0335165,0,-0.182089
0,0,0,0.802208,0.0343865,0,-0.192468
0,0,0,0.796297,0.0352404,0,-0.202711
0,0,0,0.790427,0.0360781,0,-0.212814
0,0,0,0.784597,0.0368999,0,-0.22277
0,0,0,0.778808,0.0377056,0,-0.232567
0,0,0,0.77306,0.0384955,0,-0.2422
0,0,0,0.767351,0.0392698,0,-0.251679
0,0,0,0.761682,0.0400286,0,-0.261013
0,0,0,0.756052,0.0407722,0,-0.270217
0,0,0,0.750462,0.0415009,0,-0.279288
0,0,0,0.74491,0.0422147,0,-0.288217
0,0,0,0.739397,0.0429137,0,-0.296993
0,0,0,0.733922,0.0435979,0,-0.305603
0,0,0,0.728485,0.0442674,0,-0.314047
0,0,0,0.723086,0.0449225,0,-0.322329
0,0,0,0.717725,0.0455634,0,-0.330451
0,0,0,0.712401,0.0461902,0,-0.338417
0,0,0,0.707114,0.0468031,0,-0.34623
0,0,0,0.701864,0.0474024,0,-0.353894
0,0,0,0.696651,0.0479881,0,-0.361412
