Points_0,Points_1,Points_2,Pressure_Coefficient
1,0,0,-0.639799
0.998654,0.000194975,0,-0.598869
0.997309,0.000390634,0,-0.605198
0.995963,0.000585561,0,-0.60846
0.994617,0.000779617,0,-0.606383
0.993272,0.000973484,0,-0.605018
0.991926,0.00116744,0,-0.603625
0.99058,0.00136111,0,-0.602285
0.989234,0.0015543,0,-0.601074
0.987888,0.001747,0,-0.599906
0.986542,0.00193928,0,-0.598841
0.985196,0.00213123,0,-0.597845
0.98385,0.00232296,0,-0.596953
0.982504,0.0025145,0,-0.596126
0.981157,0.00270573,0,-0.595392
0.979811,0.00289654,0,-0.594724
0.978465,0.00308689,0,-0.59413
0.977119,0.00327687,0,-0.593599
0.975772,0.00346661,0,-0.593134
0.974426,0.0036562,0,-0.592727
0.973079,0.00384561,0,-0.592377
0.971733,0.00403475,0,-0.592077
0.970386,0.00422352,0,-0.591835
0.96904,0.00441184,0,-0.59163
0.967693,0.00459975,0,-0.591489
0.966346,0.00478729,0,-0.591366
0.965,0.0049745,0,-0.591314
0.963653,0.00516142,0,-0.591272
0.962306,0.00534807,0,-0.591297
0.960959,0.00553444,0,-0.591333
0.959612,0.00572054,0,-0.591429
0.958265,0.00590635,0,-0.591531
0.956918,0.00609189,0,-0.591692
0.955571,0.00627712,0,-0.591859
0.954224,0.00646204,0,-0.59207
0.952877,0.00664662,0,-0.592305
0.95153,0.00683087,0,-0.59256
0.950183,0.00701476,0,-0.592846
0.948835,0.00719833,0,-0.593153
0.947488,0.00738157,0,-0.59348
0.946141,0.0075645,0,-0.593829
0.944793,0.00774713,0,-0.594206
0.943446,0.00792947,0,-0.594587
0.942099,0.00811152,0,-0.595005
0.940751,0.0082933,0,-0.595422
0.939404,0.0084748,0,-0.595869
0.938056,0.00865603,0,-0.596319
0.936708,0.00883701,0,-0.596792
0.935361,0.0090177,0,-0.597271
0.934013,0.0091981,0,-0.59777
0.932665,0.00937819,0,-0.598271
0.931318,0.00955795,0,-0.598796
0.92997,0.00973737,0,-0.599315
0.928622,0.00991644,0,-0.599858
0.927274,0.0100952,0,-0.600399
0.925926,0.0102736,0,-0.600955
0.924578,0.0104517,0,-0.60151
0.92323,0.0106295,0,-0.602079
0.921882,0.0108071,0,-0.602645
0.920534,0.0109844,0,-0.603225
0.919186,0.0111615,0,-0.603805
0.917838,0.0113383,0,-0.604392
0.916489,0.0115148,0,-0.604983
0.915141,0.0116911,0,-0.605577
0.913793,0.011867,0,-0.606172
0.912445,0.0120427,0,-0.606771
0.911096,0.0122181,0,-0.607368
0.909748,0.0123932,0,-0.607967
