"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,           0,      -4.419948417,      -15.16903584,      -15.52596748,      -3.703595185,      -10.46147563,      0.2356864632,     -0.1271031385,                 0,                 0,                 0,    -0.05223442199,      0.2334323114,     -0.1311970761,                 0,     -0.5392890911,    0.001183160744
          0,           0,          10,      -4.226236231,      -3.982470685,      -4.263404895,      -3.468505779,      -10.56096721,      0.0891120501,     -0.1347799121,                 0,                 0,                 0,    -0.02306446083,      0.0867462441,     -0.1363146042,                 0,      -1.512476842,    0.001216870842
          0,           0,          20,       -4.46596278,      -4.072842967,      -4.346958254,      -3.690314762,      -10.92338416,     0.01321320359,     -0.1902643767,                 0,                 0,                 0,   -0.009543342436,    0.009890619928,     -0.1904660007,                 0,      -14.39956444,    0.001216870842
          0,           0,          30,       -4.98340322,      -4.718722469,      -4.945938625,      -4.238162278,      -11.41449888,     0.02906543049,     -0.1776252798,                 0,                 0,                 0,      0.0197591744,      0.0259610151,     -0.1781054883,                 0,      -6.111221365,    0.001216870842
          0,           0,          40,      -5.179602983,      -5.182003037,      -5.261753606,      -4.442430289,      -11.41845478,     0.02174605972,     -0.1595835103,                 0,                 0,                 0,    0.005063506899,     0.01895763141,     -0.1599387261,                 0,      -7.338502349,    0.001216870842
          0,           0,          50,      -5.260014503,      -5.331731448,      -5.433903996,      -4.526413753,      -11.17566824,     0.01304960654,     -0.1670658448,                 0,                 0,                 0,   -0.002431534018,       0.010131918,     -0.1672681469,                 0,      -12.80236644,    0.001216870842
          0,           0,          60,       -5.34939375,      -5.608962508,      -5.547815773,      -4.620716243,      -10.93141536,     0.01348290372,     -0.1707526587,                 0,                 0,                 0,     0.00812225074,     0.01050080541,     -0.1709619613,                 0,      -12.66438315,    0.002027728176
          0,           0,          70,       -5.44312018,      -5.702646678,      -5.651423779,      -4.716041047,      -10.76754323,     0.01256916374,     -0.1624786988,                 0,                 0,                 0,     0.01261410927,    0.009731605103,     -0.1626733146,                 0,       -12.9267708,    0.002027728176
          0,           0,          80,       -5.51390624,      -5.725193624,      -5.750050712,      -4.786364671,      -10.69755231,     0.01060471245,     -0.1574427248,                 0,                 0,                 0,     0.01107557554,    0.007855342882,     -0.1576038233,                 0,      -14.84648692,    0.002027728176
          0,           0,          90,      -5.591814877,      -5.854886622,      -5.833631545,      -4.864592858,      -10.64681426,     0.01040020543,     -0.1558096513,                 0,                 0,                 0,     0.01237771694,    0.007679368063,     -0.1559674293,                 0,      -14.98140132,    0.002027728176
          0,           0,         100,      -5.688435478,      -5.992272699,      -5.950100493,        -4.9613503,       -10.7255386,     0.01067383305,     -0.1583813279,                 0,                 0,                 0,     0.01040017914,    0.007908072062,     -0.1585434897,                 0,      -14.83828042,    0.002027728176
          0,           0,         110,      -5.775142163,      -6.135142019,      -6.008283324,       -5.04939114,      -10.82549638,     0.01064447175,     -0.1665040617,                 0,                 0,                 0,     0.00625395022,    0.007736953984,      -0.166664474,                 0,      -15.64230388,    0.002027728176
          0,           0,         120,      -5.844677306,      -6.255031193,       -6.09428461,      -5.119010614,      -10.87286052,     0.01051276759,     -0.1742989829,                 0,                 0,                 0,    0.004926947806,    0.007469229755,     -0.1744559094,                 0,      -16.57974281,    0.002027728176
          0,           0,         130,      -5.930456082,      -6.193924074,      -6.201279336,      -5.206141653,      -10.89051222,     0.01032558949,     -0.1789479517,                 0,                 0,                 0,    0.004799754444,    0.007200944464,     -0.1791009035,                 0,       -17.3305313,    0.002027728176
          0,           0,         140,      -6.024877047,      -6.226972935,      -6.284249627,      -5.300598955,      -10.91712627,     0.01020036814,     -0.1814513841,                 0,                 0,                 0,    0.004455582494,    0.007032051274,     -0.1816017691,                 0,      -17.78870934,    0.002027728176
          0,           0,         150,      -6.106104261,      -6.254984202,      -6.391812476,      -5.380888216,      -10.96237832,     0.01009402385,     -0.1822191361,                 0,                 0,                 0,    0.004737794884,     0.00691232406,     -0.1823675482,                 0,      -18.05218006,    0.002027728176
          0,           0,         160,       -6.21013082,      -6.304612179,      -6.475232904,      -5.485516958,      -11.01894075,    0.009963929018,     -0.1817138818,                 0,                 0,                 0,    0.005209385802,    0.006791066943,     -0.1818601004,                 0,      -18.23717145,    0.002027728176
          0,           0,         170,      -6.309883453,      -6.374344889,      -6.562924487,      -5.585194422,      -11.07622076,    0.009867668372,     -0.1806399789,                 0,                 0,                 0,    0.005673272409,    0.006713563147,     -0.1807846812,                 0,      -18.30624745,    0.002027728176
          0,           0,         180,      -6.412946828,       -6.41503412,      -6.648835504,      -5.689187707,      -11.13384513,    0.009805493534,     -0.1790250433,                 0,                 0,                 0,    0.006310224901,    0.006679582292,     -0.1791689063,                 0,      -18.25762698,    0.002027728176
          0,           0,         190,      -6.512275667,      -6.495439678,      -6.739709772,      -5.789357319,      -11.19866788,    0.009746361906,      -0.177303593,                 0,                 0,                 0,    0.006759133471,     0.00665050312,     -0.1774466863,                 0,      -18.19177194,    0.002027728176
          0,           0,         200,      -6.608603309,      -6.583789175,      -6.844109351,      -5.886403827,      -11.27042112,    0.009708975408,     -0.1760455598,                 0,                 0,                 0,    0.006924344473,    0.006635078022,     -0.1761881922,                 0,      -18.13224902,    0.002027728176
          0,           0,         210,      -6.690131287,      -6.634619177,      -6.929333714,      -5.968371246,      -11.34933231,    0.009682400016,     -0.1750757969,                 0,                 0,                 0,    0.007138174334,    0.006625431375,     -0.1752181132,                 0,      -18.08185952,    0.002027728176
          0,           0,         220,      -6.775075656,      -6.693416435,      -7.010721141,        -6.0551743,      -11.42465786,    0.009652012199,      -0.174168564,                 0,                 0,                 0,    0.007386339413,    0.006610881584,     -0.1743104881,                 0,      -18.04479319,    0.002027728176
          0,           0,         230,      -6.879293637,      -6.776444991,      -7.116575751,      -6.160144296,      -11.48774886,    0.009628202435,     -0.1734807577,                 0,                 0,                 0,      0.0074948546,    0.006599079321,      -0.173622371,                 0,      -18.01797987,    0.002027728176
          0,           0,         240,      -6.971035208,      -6.843500176,      -7.214892729,      -6.253347644,      -11.54771538,    0.009609472991,     -0.1730163121,                 0,                 0,                 0,    0.007560077103,    0.006588458422,     -0.1731576693,                 0,      -18.00476595,    0.002027728176
          0,           0,         250,      -7.077284532,      -6.905990513,      -7.312682319,      -6.365736517,      -11.61069095,     0.00958964586,     -0.1726215894,                 0,                 0,                 0,    0.007662404852,    0.006575523173,     -0.1727626607,                 0,      -18.00083047,    0.002027728176
          0,           0,         260,      -7.168221209,      -6.986205323,      -7.398297127,      -6.460163784,      -11.66900842,    0.009573686281,     -0.1722930571,                 0,                 0,                 0,    0.007736187272,    0.006565299703,     -0.1724338999,                 0,      -17.99652214,    0.002027728176
          0,           0,         270,      -7.243422332,       -7.05420305,      -7.495748948,      -6.538173542,      -11.72975752,    0.009563597409,     -0.1720545462,                 0,                 0,                 0,    0.007774901593,    0.006559374956,     -0.1721952493,                 0,      -17.99056766,    0.002027728176
          0,           0,         280,      -7.337406921,      -7.104144196,      -7.571585115,      -6.640625893,       -11.7938737,    0.009551704514,     -0.1718489623,                 0,                 0,                 0,    0.007823023302,    0.006551071807,     -0.1719894891,                 0,      -17.99144457,    0.002027728176
          0,           0,         290,      -7.405275603,       -7.16441727,      -7.640484446,      -6.712878769,      -11.85066441,    0.009537920049,     -0.1716455556,                 0,                 0,                 0,    0.007880388214,    0.006540839378,     -0.1717858729,                 0,       -17.9961202,    0.002027728176
          0,           0,         300,      -7.496110037,      -7.239341839,      -7.727849344,      -6.813486963,      -11.91091595,    0.009529330048,     -0.1714536476,                 0,                 0,                 0,    0.007932185701,    0.006535599943,     -0.1715938441,                 0,      -17.99220372,    0.002027728176
          0,           0,         310,      -7.580495144,      -7.300426143,      -7.804306199,      -6.909302192,      -11.97905791,    0.009523639866,     -0.1712861676,                 0,                 0,                 0,    0.007968514317,    0.006532833557,     -0.1714262903,                 0,      -17.98536799,    0.002027728176
          0,           0,         320,      -7.646652673,       -7.35626772,      -7.891136637,      -6.985192459,      -12.04081668,    0.009516169563,     -0.1711496874,                 0,                 0,                 0,    0.007991883973,    0.006527746297,     -0.1712897006,                 0,      -17.98514479,    0.002027728176
          0,           0,         330,      -7.722771783,      -7.429379853,      -7.960206991,      -7.073647446,      -12.10372499,    0.009509542365,     -0.1710312603,                 0,                 0,                 0,    0.008020274843,    0.006523186947,     -0.1711711758,                 0,      -17.98522513,    0.002027728176
          0,           0,         340,      -7.777159628,      -7.489169449,      -8.016863426,      -7.133960213,      -12.17145363,    0.009505672095,     -0.1709137964,                 0,                 0,                 0,    0.008054215954,    0.006521367294,     -0.1710536623,                 0,      -17.98019064,    0.002027728176
          0,           0,         350,      -7.834370082,      -7.538340519,      -8.073156831,      -7.202249815,      -12.23880877,    0.009501730388,      -0.170800377,                 0,                 0,                 0,    0.008079819965,    0.006519405629,     -0.1709401913,                 0,      -17.97571285,    0.002027728176
          0,           0,         360,      -7.898468134,       -7.60879703,      -8.139957928,      -7.276560287,      -12.30445298,    0.009496905295,     -0.1706994533,                 0,                 0,                 0,    0.008099567819,    0.006516342633,     -0.1708391988,                 0,      -17.97421876,    0.002027728176
          0,           0,         370,      -7.960347202,      -7.683102393,      -8.208019246,      -7.348977357,       -12.3730041,    0.009493550044,     -0.1706085979,                 0,                 0,                 0,    0.008121622924,    0.006514573539,     -0.1707482986,                 0,      -17.97100105,    0.002027728176
          0,           0,         380,      -8.015918586,       -7.73854897,      -8.261822045,      -7.416362807,      -12.44385042,    0.009491706083,     -0.1705244924,                 0,                 0,                 0,    0.008142079346,    0.006514197701,     -0.1706641738,                 0,      -17.96563135,    0.002027728176
          0,           0,         390,      -8.066651081,        -7.7983786,      -8.319175859,      -7.473826609,      -12.51198979,    0.009489379443,     -0.1704474416,                 0,                 0,                 0,    0.008157522737,    0.006513216138,     -0.1705870941,                 0,      -17.96191654,    0.002027728176
          0,           0,         400,      -8.121679009,      -7.872477811,      -8.375838188,      -7.536117924,      -12.58104839,    0.009486682154,      -0.170377345,                 0,                 0,                 0,    0.008172476731,    0.006511742613,     -0.1705169612,                 0,       -17.9596346,    0.002027728176
          0,           0,         410,      -8.169277601,       -7.93570642,      -8.420255267,      -7.589406002,      -12.65135742,     0.00948500481,     -0.1703116424,                 0,                 0,                 0,     0.00818897225,    0.006511212193,     -0.1704512393,                 0,      -17.95588361,    0.002027728176
          0,           0,         420,      -8.214208107,      -7.990961387,      -8.462980727,      -7.637929934,      -12.72295852,    0.009483943553,     -0.1702491698,                 0,                 0,                 0,    0.008203596441,    0.006511241395,     -0.1703887577,                 0,      -17.95130569,    0.002027728176
          0,           0,         430,      -8.265006869,      -8.057974082,        -8.5114106,      -7.693869905,      -12.79365235,    0.009482473223,      -0.170191396,                 0,                 0,                 0,    0.008215350048,    0.006510779581,      -0.170330967,                 0,      -17.94799648,    0.002027728176
          0,           0,         440,      -8.314406603,      -8.129696455,      -8.563514677,      -7.747368449,      -12.86462029,    0.009481039618,     -0.1701388955,                 0,                 0,                 0,    0.008226914691,    0.006510262455,     -0.1702784495,                 0,      -17.94517293,    0.002027728176
          0,           0,         450,      -8.359656786,      -8.189111473,      -8.602122408,       -7.79725159,       -12.9356765,     0.00948027871,     -0.1700899203,                 0,                 0,                 0,      0.0082388798,    0.006510356397,     -0.1702294685,                 0,      -17.94144724,    0.002027728176
          0,           0,         460,      -8.400888123,      -8.246809376,       -8.63852538,       -7.83640347,      -13.00774926,     0.00947966565,     -0.1700434657,                 0,                 0,                 0,    0.008249407847,    0.006510554176,     -0.1701830102,                 0,      -17.93770708,    0.002027728176
          0,           0,         470,      -8.446552965,      -8.314405394,      -8.680637275,      -7.882507668,      -13.08025464,    0.009478771599,      -0.170000451,                 0,                 0,                 0,    0.008258464783,    0.006510410971,     -0.1701399865,                 0,      -17.93486099,    0.002027728176
