"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,           0,      -4.421071825,      -15.42692369,      -15.66862048,      -3.823353871,      -10.46971726,       0.214366411,     -0.1817378218,                 0,                 0,                 0,     -0.0658834539,      0.2078932662,     -0.1891083919,                 0,     -0.8477905702,    0.001118280616
          0,           0,          10,      -3.978509224,      -3.939342971,      -4.146701873,      -3.351155885,      -10.34357608,      0.1259670305,     -0.1995950186,                 0,                 0,                 0,    -0.05686675987,      0.1189245291,     -0.2038696166,                 0,      -1.584502055,    0.001183737404
          0,           0,          20,      -3.987226295,      -4.067027572,      -4.191498823,      -3.371042513,      -10.41038405,      0.1055137087,     -0.2196965528,                 0,                 0,                 0,    -0.05113687142,     0.09778213348,     -0.2232450949,                 0,      -2.082161224,    0.001183737404
          0,           0,          30,      -4.250731277,      -4.367241429,      -4.496416777,      -3.641907575,      -10.66062013,     0.08334643255,     -0.2397618506,                 0,                 0,                 0,    -0.06202166856,     0.07492809224,     -0.2425245427,                 0,      -2.876690018,    0.001183737404
          0,           0,          40,      -4.572655498,      -4.798143319,      -4.845464899,      -3.970852303,      -10.88506962,     0.07204340831,     -0.2848308074,                 0,                 0,                 0,    -0.09335461387,     0.06205906959,     -0.2871715749,                 0,      -3.953599837,    0.001183737404
          0,           0,          50,      -4.896170439,      -5.239346229,      -5.192267148,       -4.29351093,      -10.68310493,     0.07039799932,     -0.3148740653,                 0,                 0,                 0,     -0.1057907004,     0.05936616836,     -0.3171391072,                 0,      -4.472770083,    0.001826336665
          0,           0,          60,      -5.201613339,      -5.479230522,       -5.53493897,      -4.597933104,      -9.978581281,     0.06984258539,     -0.3150245582,                 0,                 0,                 0,    -0.09875789698,     0.05880584065,     -0.3172701249,                 0,      -4.510493941,    0.001826336665
          0,           0,          70,      -5.446176696,      -5.542821128,       -5.74235443,      -4.835085424,      -9.567155068,     0.06947087711,     -0.2933165188,                 0,                 0,                 0,    -0.08173699797,     0.05919195845,      -0.295562337,                 0,      -4.222150792,    0.001826336665
          0,           0,          80,      -5.464212036,       -5.57203431,      -5.845697686,      -4.848290932,      -9.759115928,     0.06952386069,     -0.2872908373,                 0,                 0,                 0,     -0.0835144116,       0.059455203,     -0.2895421752,                 0,      -4.132262427,    0.001826336665
          0,           0,          90,      -5.586598717,      -5.782022284,       -6.02652283,      -4.962223792,      -10.01778388,     0.06971582342,     -0.2906969654,                 0,                 0,                 0,    -0.08911054658,     0.05952817664,     -0.2929529278,                 0,      -4.169741547,    0.001826336665
