"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,           0,        -4.4094536,      -15.36494701,      -15.67927351,      -4.059960221,      -10.46411046,      0.1903685004,      0.1158927569,                 0,                 0,                 0,     0.03239600219,      0.1849804027,       0.124312299,                 0,      0.6087811619,    0.001104962882
          0,           0,          10,      -3.952050628,      -4.281624955,      -4.218419982,      -3.596700626,      -10.21334444,      0.1407430652,      0.1754061425,                 0,                 0,                 0,     0.05739566049,      0.1327363059,      0.1815406244,                 0,       1.246286218,    0.001187023339
          0,           0,          20,      -3.916383324,      -4.218045774,      -4.182510108,      -3.545089013,      -10.36740857,      0.1218840389,      0.1868522193,                 0,                 0,                 0,     0.05883211559,      0.1133830072,      0.1921295513,                 0,       1.533032717,    0.001187023339
          0,           0,          30,      -4.373615653,      -4.677969594,      -4.644040825,      -3.990542402,      -10.92336423,       0.116147864,      0.1893948208,                 0,                 0,                 0,     0.06043820822,      0.1075385917,      0.1944123858,                 0,       1.630635418,     0.00254767779
          0,           0,          40,      -4.833360668,      -5.235932062,      -5.211860078,      -4.457781578,      -11.16358318,      0.1133951442,      0.1878898559,                 0,                 0,                 0,     0.05939106702,      0.1048561231,      0.1927855028,                 0,       1.656947987,     0.00254767779
          0,           0,          50,      -5.269167763,      -5.604229367,      -5.647436912,      -4.889393464,      -11.02699383,      0.1124102881,      0.1875085958,                 0,                 0,                 0,     0.05920795373,      0.1038893533,      0.1923604654,                 0,        1.66807326,    0.001719977389
          0,           0,          60,      -5.534873771,      -5.970556727,      -5.968329372,      -5.162949418,      -10.81346471,      0.1121009123,      0.1888752603,                 0,                 0,                 0,     0.05934999369,      0.1035190075,      0.1937118829,                 0,       1.684868182,    0.001719977389
          0,           0,          70,      -5.795482648,      -6.011834002,      -6.261090733,      -5.426490296,       -10.8904258,      0.1116913423,      0.1890317197,                 0,                 0,                 0,     0.05923806203,      0.1031028339,      0.1938498198,                 0,        1.69244738,    0.001719977389
          0,           0,          80,      -6.027903079,       -6.05786426,       -6.48722712,        -5.6389704,      -11.13430888,      0.1113264209,       0.188755571,                 0,                 0,                 0,     0.05908866205,       0.102750662,      0.1935575858,                 0,       1.695514591,    0.001719977389
          0,           0,          90,      -6.199985353,      -6.163650106,      -6.629826541,      -5.805867132,      -11.25329618,      0.1110361008,      0.1887856138,                 0,                 0,                 0,     0.05897454578,      0.1024592867,      0.1935745805,                 0,        1.70021833,    0.001719977389
          0,           0,         100,      -6.344866989,      -6.301227226,      -6.756931326,      -5.957703425,      -11.27880176,      0.1108046382,      0.1887456848,                 0,                 0,                 0,     0.05882986353,      0.1022298474,      0.1935243129,                 0,       1.703409604,    0.001719977389
          0,           0,         110,      -6.491688343,      -6.426977299,      -6.914619242,      -6.116288008,      -11.29904015,      0.1106200722,      0.1886157139,                 0,                 0,                 0,      0.0586516295,      0.1020512949,      0.1933861968,                 0,       1.705076757,    0.001719977389
          0,           0,         120,      -6.598631414,      -6.513365384,      -7.019742592,      -6.232669157,      -11.34628144,      0.1104761429,      0.1885419089,                 0,                 0,                 0,     0.05849090567,      0.1019108198,      0.1933060123,                 0,       1.706630083,    0.001719977389
          0,           0,         130,      -6.700203025,       -6.60050255,      -7.115583078,      -6.339661704,      -11.42199529,      0.1103630745,      0.1884843434,                 0,                 0,                 0,     0.05834870437,      0.1018004463,      0.1932434347,                 0,       1.707856947,    0.001719977389
          0,           0,         140,      -6.795131096,       -6.68556832,      -7.200689922,       -6.43471825,      -11.52567126,       0.110271999,      0.1884320203,                 0,                 0,                 0,     0.05822661108,      0.1017118087,      0.1931870804,                 0,       1.708793002,    0.003080631835
          0,           0,         150,      -6.894573368,      -6.774927846,      -7.287689522,      -6.532182561,      -11.63729162,      0.1101993289,      0.1883967439,                 0,                 0,                 0,     0.05812844531,      0.1016407934,      0.1931485809,                 0,       1.709599739,    0.003080631835
          0,           0,         160,      -6.996520599,       -6.87719156,      -7.382660453,      -6.633057457,      -11.75816639,       0.110141393,      0.1883674515,                 0,                 0,                 0,     0.05804818313,      0.1015842293,      0.1931167201,                 0,       1.710233059,    0.003080631835
          0,           0,         170,      -7.097807996,      -6.984303635,       -7.47397703,      -6.732571839,      -11.87865125,      0.1100952808,      0.1883407521,                 0,                 0,                 0,     0.05798218527,      0.1015393606,      0.1930879799,                 0,        1.71070686,    0.003080631835
          0,           0,         180,      -7.202988441,      -7.097577788,      -7.572630546,      -6.838623773,      -11.99721959,      0.1100591797,      0.1883183921,                 0,                 0,                 0,     0.05792853031,      0.1015042984,      0.1930640237,                 0,       1.711064835,    0.004441286262
          0,           0,         190,        -7.3059275,      -7.212673441,      -7.671604317,      -6.942004821,      -12.10754258,      0.1100311927,      0.1882990867,                 0,                 0,                 0,     0.05788466305,      0.1014772053,      0.1930434828,                 0,       1.711324599,    0.004441286262
          0,           0,         200,      -7.409760928,      -7.330308297,       -7.77029954,      -7.047162652,      -12.22704374,      0.1100097228,      0.1882821925,                 0,                 0,                 0,     0.05784892772,      0.1014565145,      0.1930256428,                 0,       1.711505018,    0.004441286262
