Points_X,Experimental (NASA)
-2.78E-17,1.087018545
-2.78E-17,0.960342368
0.002272727,0.761768902
-2.78E-17,0.590584879
0.006818182,0.491298146
-0.001136364,0.385164051
0.015909091,0.385164051
0.020454545,0.285877318
0.026136364,0.213980029
0.044318182,0.022253923
0.071590909,-0.100998573
0.098863636,-0.217403709
0.175,-0.388587732
0.218181818,-0.433095578
0.259090909,-0.436519258
0.304545455,-0.419400856
0.339772727,-0.37146933
0.381818182,-0.347503566
0.425,-0.323537803
0.465909091,-0.30299572
0.511363636,-0.261911555
0.545454545,-0.244793153
0.589772727,-0.203708987
0.623863636,-0.183166904
0.670454545,-0.135235378
0.709090909,-0.094151213
0.745454545,-0.07360913
0.780681818,-0.053067047
0.818181818,-0.011982882
0.857954545,0.032524964
0.903409091,0.066761769
0.927272727,0.083880171
0.944318182,0.121540656
0.9625,0.162624822
0.984090909,0.220827389
0.992045455,0.193437946
0.978409091,0.155777461
0.963636364,0.121540656
0.947727273,0.07703281
0.922727273,0.042796006
0.8625,-0.032524964
0.822727273,-0.053067047
0.795454545,-0.090727532
0.754545455,-0.162624822
0.702272727,-0.244793153
0.663636364,-0.320114123
0.617045455,-0.398858773
0.581818182,-0.463908702
0.546590909,-0.491298146
0.509090909,-0.570042796
0.469318182,-1.110984308
0.425,-1.134950071
0.382954545,-1.134950071
0.347727273,-1.100713267
0.310227273,-1.093865906
0.2625,-1.056205421
0.227272727,-1.015121255
0.181818182,-0.970613409
0.142045455,-0.888445078
0.104545455,-0.82681883
0.081818182,-0.778887304
0.059090909,-0.652211127
0.047727273,-0.59743224
0.0375,-0.52211127
0.028409091,-0.419400856
0.021590909,-0.368045649
0.019318182,-0.237945792
0.009090909,0.046219686
0.003409091,0.176319544
