Points_x,q-$\omega$ (NASA)
0.000216763,1.090116279
0.000578035,1.091478924
0.00166185,0.964752907
0.002745665,0.876453488
0.00382948,0.771802326
0.00816474,0.706395349
0.015028902,0.457957849
0.01900289,0.353924419
0.02550578,0.24909157
0.032008671,0.175508721
0.038511561,0.101380814
0.045014451,0.035610465
0.053684971,-0.040552326
0.067774566,-0.120321584
0.087283237,-0.196547965
0.110043353,-0.25984408
0.133887283,-0.319602273
0.157731214,-0.368360201
0.181575145,-0.408793605
0.205419075,-0.432280655
0.229263006,-0.444767442
0.253106936,-0.444767442
0.276950867,-0.443578224
0.300794798,-0.438226744
0.324638728,-0.428713002
0.348482659,-0.414145085
0.37232659,-0.3951176
0.39833815,-0.37163055
0.422182081,-0.353792283
0.446026012,-0.335210756
0.469869942,-0.312764271
0.493713873,-0.287493393
0.517557803,-0.268465909
0.541401734,-0.251519556
0.565245665,-0.23903277
0.589523121,-0.222056686
0.612933526,-0.203653541
0.636777457,-0.184626057
0.660621387,-0.164112051
0.684465318,-0.144787262
0.708309249,-0.126057082
0.732153179,-0.109110729
0.75599711,-0.091569767
0.777914258,-0.078125
0.80705684,-0.059593023
0.828612717,-0.037609012
0.855708092,-0.017540962
0.878106936,0.007085756
0.903395954,0.034190011
0.92772158,0.066497093
0.951083815,0.105543076
0.973843931,0.158611919
0.989017341,0.213390262
0.994436416,0.202761628
0.98099711,0.190988372
0.957586705,0.175409619
0.933742775,0.151625264
0.909898844,0.127543605
0.886054913,0.102570032
0.862210983,0.076704545
0.838367052,0.052028277
0.814523121,0.027054704
0.790679191,-0.003864958
0.76683526,-0.039244186
0.741365607,-0.083393895
0.719147399,-0.125165169
0.693755161,-0.175664452
0.671459538,-0.228924419
0.649783237,-0.293241279
0.634609827,-0.365625
0.624855491,-0.448037791
0.617268786,-0.527616279
0.610765896,-0.617005814
0.605346821,-0.698219477
0.601011561,-0.793059593
0.596676301,-0.874818314
0.59234104,-0.951671512
0.58800578,-1.02525436
0.58367052,-1.100472384
0.571266859,-1.176962209
0.54405106,-1.192223837
0.521893064,-1.190406977
0.498049133,-1.187136628
0.474205202,-1.178217495
0.450361272,-1.171082188
0.426517341,-1.161271142
0.40267341,-1.149676268
0.379642341,-1.138081395
0.354443642,-1.125817587
0.326806358,-1.112810518
0.302962428,-1.10091834
0.279118497,-1.086053118
0.255274566,-1.069701374
0.231430636,-1.05067389
0.207586705,-1.019159619
0.183742775,-0.991569767
0.159898844,-0.962077167
0.136054913,-0.92877907
0.112210983,-0.880318446
0.088367052,-0.815506078
0.067774566,-0.740325218
0.053684971,-0.667805233
0.042846821,-0.58931686
0.033092486,-0.498728198
0.02550578,-0.398982558
0.02117052,-0.312863372
0.017919075,-0.242005814
0.01466763,-0.150436047
0.0125,-0.066739341
0.009971098,0.080123547
0.005274566,0.214752907
0.00382948,0.299781977
0.002312139,0.404651163
0.001156069,0.837209302
0.000939306,0.927688953
0.000578035,1.017078488


