"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,   "Cauchy[CL]"   
          0,           0,           0,      -4.424248825,      -15.26493609,      -15.53326523,       -3.77921642,       -16.6613564,      0.7435371246,       0.222474688,      0.2368668105,                 0,                 0,                 0,     0.09423659316,      0.2129609839,      0.2454556825,                 0,       1.064691056,    0.001110027895,                 1
          0,           0,          10,      -4.061310474,      -3.852624044,      -4.170199767,      -3.365647931,      -10.46223847,      0.4169143352,      0.1165592401,      0.1772307518,                 0,                 0,                 0,     0.03528463856,      0.1094796213,      0.1816893182,                 0,       1.520520825,    0.001183213747,    0.008884782991
          0,           0,          20,      -4.170059519,       -3.92536064,       -4.23989932,      -3.465447007,      -10.46211321,    -0.06890857592,     0.06569872598,      0.2926405725,                 0,                 0,                 0,      0.0754476329,     0.05410757264,      0.2950037251,                 0,       4.454280782,    0.001183213747,     0.01377260912
          0,           0,          30,      -4.550135493,      -4.435693929,       -4.57730453,      -3.860223587,        -10.462103,     -0.3342564777,     0.04494449937,      0.4141692929,                 0,                 0,                 0,     0.09216110484,      0.0285770998,      0.4156194901,                 0,       9.215127517,    0.001183213747,     0.01717471851
          0,           0,          40,      -4.853466522,      -5.036079261,      -5.036325047,      -4.198205911,      -10.46203237,     -0.4324504062,     0.04947319656,      0.4445595199,                 0,                 0,                 0,     0.05239578117,     0.03190385973,      0.4461646643,                 0,       8.985866103,    0.001776977892,     0.01788015105
          0,           0,          50,      -4.970632254,      -5.155485475,       -5.34444427,      -4.316481939,      -10.45419465,     -0.7658811248,     0.05171063368,      0.4646328793,                 0,                 0,                 0,     0.05867657963,     0.03334797936,      0.4663106415,                 0,       8.985248221,    0.001776977892,     0.01832080336
          0,           0,          60,      -4.998919138,      -5.205945931,      -5.423675054,      -4.331159462,       -9.78566534,     -0.7494515317,     0.05162725449,      0.5037974826,                 0,                 0,                 0,     0.09638065742,      0.0317202397,      0.5054414934,                 0,       9.758362857,    0.001776977892,     0.01912674438
          0,           0,          70,      -5.176474308,      -5.424678875,      -5.468528216,      -4.514747364,      -8.158258637,     -0.6819601304,     0.05324835158,      0.5504518876,                 0,                 0,                 0,      0.1273138408,     0.03150029608,      0.5521235358,                 0,       10.33744466,    0.002955290529,     0.02000847386
          0,           0,          80,      -5.253922348,      -5.360332213,      -5.480505913,      -4.595127192,      -6.733317585,     -0.7662870413,     0.05684988717,      0.5798034718,                 0,                 0,                 0,      0.1434411437,     0.03394157365,      0.5815943132,                 0,          10.19885,    0.002955290529,     0.02052653194
          0,           0,          90,      -5.226878197,       -5.15575732,       -5.45294555,      -4.572297265,      -6.953022259,     -0.8677822264,     0.05809353085,      0.5680832105,                 0,                 0,                 0,       0.140629591,     0.03564642926,      0.5699322104,                 0,       9.778768862,     0.01656183561,     0.02080714421
          0,           0,         100,      -4.949326473,      -5.132705302,      -5.191227094,      -4.291820398,      -7.107843434,     -0.9495686217,     0.05174221479,      0.4656558601,                 0,                 0,                 0,     0.07185818649,     0.03333919547,      0.4673340721,                 0,       8.999534751,     0.02472576264,     0.02281809911
          0,           0,         110,      -4.784063568,      -5.117292489,      -5.077531817,      -4.130141328,      -7.165149188,      -1.024039633,     0.03953268712,      0.2952656454,                 0,                 0,                 0,    -0.03457165221,     0.02785836886,       0.296594919,                 0,       7.468898952,     0.03288968968,     0.01859613209
          0,           0,         120,      -4.812486273,      -5.067076945,      -5.218732532,      -4.160501595,       -7.21907367,      -1.068825502,     0.03102677396,      0.1971213508,                 0,                 0,                 0,     -0.0655227062,     0.02322931493,      0.1981915401,                 0,       6.353266086,     0.04785688925,     0.01783609608
          0,           0,         130,      -4.948110569,      -5.173123725,      -5.370033099,      -4.298020941,      -7.433084393,     -0.9785063956,      0.0274374902,       0.186677282,                 0,                 0,                 0,    -0.04778752609,     0.02005467666,      0.1876140544,                 0,       6.803730249,     0.05738147081,     0.01516565146
          0,           0,         140,      -5.100039029,      -5.433690498,      -5.526318737,      -4.450053522,      -7.647212411,      -1.083995688,     0.02663826092,      0.2014803743,                 0,                 0,                 0,    -0.03569586951,     0.01867232075,      0.2023741154,                 0,       7.563570868,     0.05466016179,      0.0152203705
          0,           0,         150,      -5.324235403,      -5.592790758,      -5.702560507,      -4.670144299,      -7.870551018,      -1.218484106,     0.02758234549,      0.2168719803,                 0,                 0,                 0,    -0.03264819362,     0.01900871511,      0.2177909786,                 0,       7.862709874,     0.04649623474,      0.0155131557
          0,           0,         160,      -5.582922643,      -5.738341004,      -5.897253528,      -4.927978396,      -8.044018234,      -1.240243625,     0.02886784838,      0.2306052451,                 0,                 0,                 0,    -0.03048360504,     0.01975165759,      0.2315642541,                 0,        7.98830734,      0.0383323077,     0.01531933191
          0,           0,         170,       -5.47092792,      -5.670270952,      -5.956857764,      -4.809747007,      -8.168062363,      -1.311898444,     0.02980568636,      0.2445255476,                 0,                 0,                 0,    -0.02596152136,     0.02013982991,      0.2455107118,                 0,       8.203989824,     0.03425034417,     0.01502201137
          0,           0,         180,      -5.377694522,      -5.600803452,      -5.934000082,      -4.711110145,      -8.195749157,      -1.395004501,     0.03077741924,      0.2619155488,                 0,                 0,                 0,    -0.01869000683,     0.02042504593,      0.2629255061,                 0,       8.509990614,     0.03561099868,     0.01518861532
          0,           0,         190,      -5.332089793,      -5.539788312,      -5.877770383,      -4.664638147,       -8.13066214,      -1.444681692,     0.03192714955,      0.2831985308,                 0,                 0,                 0,    -0.01015670749,     0.02073460429,      0.2842372722,                 0,       8.870147656,     0.04377492573,      0.0156862185
          0,           0,         200,      -5.315202623,      -5.531160221,      -5.856304026,      -4.647452681,      -8.047755854,       -1.49042984,     0.03338232611,      0.3070241405,                 0,                 0,                 0,  -0.0007767701946,     0.02124910478,      0.3081017333,                 0,       9.197206316,     0.06146343432,     0.01447979177
