"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,           0,      -4.315325306,      -15.32953262,      -15.57823769,      -3.621207805,      -16.53044972,      0.3816071864,      0.1640182136,      0.2654573812,                 0,                 0,                 0,     0.06746393914,      0.1534225321,      0.2717188295,                 0,       1.618462824,    0.001229564995
          0,           0,          10,      -4.146039845,      -3.844455706,       -4.18004891,      -3.399714823,       -10.3930556,     -0.8846077652,     0.07277346612,      0.2277556666,                 0,                 0,                 0,     0.03135471805,     0.06373549507,      0.2304482755,                 0,       3.129652588,    0.001317504604
          0,           0,          20,      -4.364262453,      -3.956390285,      -4.259310383,      -3.594297675,        -10.392941,      -1.111901866,     0.02055292924,      0.3836133656,                 0,                 0,                 0,     0.03562986992,     0.00540945116,      0.3841254678,                 0,       18.66465656,    0.001518394825
          0,           0,          30,      -4.811159599,      -4.625159419,      -4.878081277,      -4.107188805,       -10.3929455,       -1.21175408,     0.03447046497,      0.4382778744,                 0,                 0,                 0,  -0.0009560813601,     0.01716050949,      0.4392962839,                 0,       12.71459131,    0.001518394825
          0,           0,          40,      -5.060467992,      -5.132591857,      -5.227369716,      -4.354938266,      -10.39253837,      -1.404240651,     0.02782788024,       0.414508445,                 0,                 0,                 0,   -0.003782203115,     0.01146042032,       0.415283398,                 0,       14.89543729,    0.002853745814
          0,           0,          50,      -5.255105784,      -5.253227898,      -5.432975693,      -4.546637329,      -10.29657028,      -1.589730868,     0.02002669767,      0.4179340129,                 0,                 0,                 0,    0.002662380764,    0.003530221176,      0.4183986679,                 0,       20.86884317,    0.002853745814
          0,           0,          60,      -5.359399488,      -5.419982306,      -5.590630888,      -4.646575095,      -9.075166294,      -1.741031149,     0.02203403996,      0.4232695951,                 0,                 0,                 0,   -0.004582049883,    0.005325597607,      0.4238092579,                 0,       19.20980428,    0.002853745814
          0,           0,          70,      -5.373622967,      -5.496822257,      -5.666404059,        -4.6669256,      -7.771887958,      -1.850980365,     0.02066423989,      0.4043015327,                 0,                 0,                 0,    -0.01047932643,    0.004704853631,      0.4048019324,                 0,       19.56527483,    0.002853745814
          0,           0,          80,      -5.584117805,      -5.536133568,      -5.750572322,      -4.871529356,      -7.555210826,      -1.931944272,     0.01742511663,      0.3852416982,                 0,                 0,                 0,    -0.01457676015,    0.002219859446,       0.385629191,                 0,       22.10841433,    0.002853745814
          0,           0,          90,      -5.570190833,      -5.572793728,      -5.876234237,       -4.85998718,      -7.705633273,      -2.071733055,     0.01640302333,      0.3743966391,                 0,                 0,                 0,    -0.01861330667,    0.001626227538,      0.3747522621,                 0,       22.82485561,    0.007756647073
          0,           0,         100,      -5.543410236,      -5.592268197,      -5.848681532,      -4.832521782,      -7.911886839,      -2.163702384,     0.01748461352,       0.386479698,                 0,                 0,                 0,   -0.009827607158,    0.002230490505,      0.3868685741,                 0,       22.10398861,     0.01588118848
          0,           0,         110,      -5.694602092,      -5.710306824,      -5.859177111,      -4.977813769,        -8.0213238,      -2.156926629,     0.01863940009,      0.4106662969,                 0,                 0,                 0,  -0.0006082184566,    0.002430599344,       0.411081898,                 0,       22.03216278,     0.02241839018
          0,           0,         120,      -5.724829149,       -5.75637724,      -6.053514731,      -5.014213289,      -8.022105246,      -2.240475651,     0.01958226775,      0.4224463643,                 0,                 0,                 0,  -0.0003998632566,    0.002908195922,      0.4228899837,                 0,       21.57290308,     0.03712709404
          0,           0,         130,      -5.528752283,      -5.734259358,      -6.107547467,      -4.812454391,      -7.971695956,      -2.407104877,     0.02005766329,      0.4254842815,                 0,                 0,                 0,   -0.001087921896,    0.003263423804,      0.4259442848,                 0,       21.21305336,     0.04366429579
          0,           0,         140,      -5.607282234,      -5.825602972,      -6.152284476,      -4.888346698,      -7.985803311,       -2.42321401,     0.02012615907,      0.4286122399,                 0,                 0,                 0,  -0.0005379895738,    0.003208517723,      0.4290725113,                 0,       21.29627608,     0.04693289671
          0,           0,         150,      -5.779254714,      -5.980014073,      -6.282478002,      -5.060658386,      -8.064680382,       -2.50983005,     0.02030751945,      0.4304515337,                 0,                 0,                 0,   -0.001464491448,    0.003317205935,      0.4309175262,                 0,       21.19665746,     0.04693289676
          0,           0,         160,      -5.997206186,      -6.147787375,      -6.396734161,      -5.282531397,      -8.176088444,      -2.681032442,     0.02047855913,      0.4280124769,                 0,                 0,                 0,   -0.003322469387,    0.003584294868,      0.4284871113,                 0,       20.90051717,     0.04856719722
          0,           0,         170,      -6.237337212,      -6.180131025,      -6.508603896,       -5.53954385,      -8.291133979,      -2.717566319,     0.02033146977,      0.4243466509,                 0,                 0,                 0,   -0.004210381682,    0.003581878882,      0.4248183364,                 0,        20.8714203,     0.05347009853
          0,           0,         180,       -6.01404147,      -6.084388154,      -6.523162445,      -5.314166335,      -8.388609207,      -2.776203465,     0.02020276643,      0.4218920559,                 0,                 0,                 0,    -0.00460994995,    0.003550070677,      0.4223605753,                 0,       20.88288538,     0.05673869941
          0,           0,         190,      -5.881991053,      -5.959223555,      -6.442829838,       -5.17737387,      -8.473767563,      -2.961832387,     0.02027695539,      0.4206777224,                 0,                 0,                 0,   -0.004575986508,    0.003672088212,      0.4211501119,                 0,       20.74659209,     0.06000730027
          0,           0,         200,       -5.87977608,      -5.944656095,      -6.436714674,      -5.172752594,      -8.565960747,      -3.055266306,       0.020349852,      0.4210636927,                 0,                 0,                 0,     -0.0036384152,    0.003729707688,      0.4215386567,                 0,       20.69124103,     0.06000730027
          0,           0,         210,      -5.954854112,      -5.980287541,       -6.45394606,      -5.245198052,      -8.670319685,       -3.07478633,     0.02043124587,       0.422687939,                 0,                 0,                 0,   -0.002629484116,    0.003746987369,      0.4231648493,                 0,       20.68830955,     0.06164160069
          0,           0,         220,      -6.100737259,      -6.043868104,      -6.567549523,      -5.388045706,      -8.773517989,      -3.227418879,     0.02054821263,      0.4236458824,                 0,                 0,                 0,   -0.002294060919,    0.003826087404,      0.4241266601,                 0,       20.61716462,     0.06000730025
