"Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
           0,      -4.219982775,      -15.37252756,      -15.66246453,      -3.503629543,      -10.11612235,      0.2482587138,     -0.2298611915,                 0,                 0,                 0,    -0.02718314338,      0.2400854414,     -0.2383852704,                 0,       -0.92589375,   0.0006836031193
           1,      -4.773762058,      -4.341601461,      -4.405470194,      -4.033875944,      -10.91732713,      0.2631288009,     -0.2053821295,                 0,                 0,                 0,    -0.01982379494,       0.255800777,      -0.214440079,                 0,     -0.7805383859,   0.0009975671091
           2,      -4.688693751,      -4.327004028,      -4.572254578,      -3.936496206,      -11.08403058,       0.264603175,     -0.1865039682,                 0,                 0,                 0,    -0.01416680367,      0.2579330912,     -0.1956248726,                 0,     -0.7048440299,   0.0009975671091
           3,      -4.652711415,      -4.329348029,      -4.525795708,      -3.912132783,      -11.08904034,      0.2626773432,     -0.1801706059,                 0,                 0,                 0,    -0.01050856726,      0.2562294638,     -0.1892281579,                 0,      -0.685900823,   0.0009975671091
           4,      -4.629786274,      -4.330617319,      -4.505696726,       -3.90708601,      -11.04770488,      0.2501419892,     -0.1771412421,                 0,                 0,                 0,   -0.007803784238,      0.2438074693,      -0.185763162,                 0,     -0.7081627625,   0.0009975671091
           5,      -4.616108754,      -4.334452719,      -4.512453587,      -3.909070975,      -11.00698911,       0.239095308,      -0.174907567,                 0,                 0,                 0,   -0.005664074266,      0.2328454715,      -0.183145324,                 0,     -0.7315391027,   0.0009975671091
           6,      -4.611111023,      -4.340450554,      -4.530157861,      -3.918606313,      -10.92940372,       0.226828601,     -0.1718837401,                 0,                 0,                 0,   -0.001667121994,      0.2206917671,     -0.1796952372,                 0,     -0.7577692556,   0.0009975671091
           7,      -4.576831487,      -4.316804507,      -4.509328706,       -3.88331673,      -10.90185441,      0.2180704716,     -0.1694555345,                 0,                 0,                 0,    0.001333752667,      0.2120237161,     -0.1769628565,                 0,     -0.7770677675,   0.0009975671091
           8,      -4.560149386,       -4.30664881,      -4.498288191,      -3.869653488,      -10.82990601,      0.2068977887,     -0.1660703056,                 0,                 0,                 0,    0.006546985007,      0.2009759821,     -0.1731897688,                 0,     -0.8026683449,   0.0009975671091
           9,      -4.512364765,      -4.274338066,      -4.444805683,      -3.815011195,      -10.80860924,      0.1986477992,     -0.1637103955,                 0,                 0,                 0,     0.01019218094,      0.1928133779,     -0.1705433757,                 0,     -0.8241238822,   0.0009975671091
          10,      -4.485824492,      -4.260195779,       -4.41781716,      -3.791619637,      -10.73781236,      0.1876178092,     -0.1608672069,                 0,                 0,                 0,     0.01597279876,      0.1818893329,     -0.1673169781,                 0,     -0.8574197068,   0.0009975671091
          11,      -4.426365077,      -4.224912291,      -4.356208044,      -3.729472375,      -10.72902265,      0.1796716476,     -0.1591821258,                 0,                 0,                 0,     0.01972404126,      0.1740068204,     -0.1653556064,                 0,     -0.8859612959,   0.0009975671091
          12,      -4.394244869,      -4.210081848,       -4.32959139,      -3.703566979,      -10.65859039,      0.1688184494,      -0.157573811,                 0,                 0,                 0,     0.02522643847,      0.1632163631,     -0.1633695002,                 0,     -0.9333921235,   0.0009975671091
          13,      -4.333164335,      -4.175864954,      -4.274089387,      -3.642181063,      -10.66397774,      0.1610725774,     -0.1568197144,                 0,                 0,                 0,     0.02858979641,      0.1555015272,      -0.162345536,                 0,     -0.9735966045,   0.0009975671091
          14,      -4.302898689,      -4.165975552,      -4.255346459,      -3.619075784,      -10.59205379,      0.1501917623,      -0.156617799,                 0,                 0,                 0,     0.03326762618,      0.1446343871,     -0.1617640086,                 0,      -1.042785547,   0.0009975671091
          15,      -4.246127044,       -4.14101681,      -4.212611796,      -3.561443695,       -10.6101133,      0.1424822831,      -0.156785548,                 0,                 0,                 0,     0.03602088349,        0.13692375,     -0.1616625985,                 0,       -1.10038627,   0.0009975671091
          16,      -4.219087176,      -4.141258313,      -4.204218462,      -3.540521582,      -10.53566023,      0.1316434152,     -0.1579166947,                 0,                 0,                 0,     0.03974784373,      0.1260520084,      -0.162414785,                 0,      -1.199579139,   0.0009975671091
          17,      -4.165811138,      -4.131796187,      -4.171764289,       -3.48345506,      -10.56529542,      0.1242046905,      -0.158927624,                 0,                 0,                 0,     0.04190787997,      0.1185825343,     -0.1631654908,                 0,      -1.279562176,   0.0009975671091
          18,      -4.141891556,      -4.143030561,      -4.170004105,       -3.46266049,      -10.49066821,      0.1143652751,     -0.1612276024,                 0,                 0,                 0,      0.0448124659,      0.1086688447,     -0.1651206775,                 0,      -1.409760107,   0.0009975671091
          19,      -4.093369286,      -4.142697736,      -4.140869695,      -3.405995117,      -10.53072226,        0.10807771,     -0.1629247319,                 0,                 0,                 0,     0.04650985694,      0.1023258809,     -0.1665973403,                 0,      -1.507477646,   0.0009975671091
          20,      -4.074691186,      -4.146165705,      -4.141488122,      -3.386917799,      -10.45782292,      0.1008405527,     -0.1658352222,                 0,                 0,                 0,     0.04891027931,     0.09499155757,     -0.1692534844,                 0,      -1.644529088,   0.0009975671091
          21,      -4.033817491,      -4.104635106,      -4.112315927,      -3.333509513,      -10.50404679,     0.09671153031,     -0.1676613456,                 0,                 0,                 0,     0.05041672392,     0.09080131968,     -0.1709343946,                 0,      -1.733623127,   0.0009975671091
          22,      -4.022487926,      -4.064503587,      -4.114393527,      -3.319263967,      -10.43012996,     0.09301214413,     -0.1698241952,                 0,                 0,                 0,     0.05291210591,      0.0870287047,     -0.1729668199,                 0,      -1.825828195,   0.0009975671091
          23,      -3.992041883,      -3.969227433,      -4.087397709,      -3.273778499,      -10.47684539,     0.09118757945,     -0.1707019553,                 0,                 0,                 0,     0.05467889779,     0.08517461811,     -0.1737803689,                 0,      -1.871986912,   0.0009975671091
          24,      -3.989756573,      -3.917442662,      -4.092980612,      -3.268791432,      -10.39465075,     0.09016747731,     -0.1705311458,                 0,                 0,                 0,     0.05789401267,     0.08416109856,     -0.1735740624,                 0,       -1.89127112,   0.0009975671091
          25,      -3.970980427,      -3.833207889,      -4.072655557,      -3.236954997,      -10.42865778,     0.08958769414,     -0.1696309094,                 0,                 0,                 0,     0.06021466154,     0.08361308638,     -0.1726541402,                 0,      -1.893462166,   0.0009975671091
          26,      -3.975826673,      -3.802821192,      -4.082611152,      -3.242893992,      -10.34441857,     0.08910657873,     -0.1667745841,                 0,                 0,                 0,     0.06416854085,     0.08323194836,     -0.1697827643,                 0,      -1.871630428,   0.0009975671091
          27,      -3.962127059,      -3.756230331,      -4.063976128,      -3.223733088,      -10.37300796,     0.08829506898,     -0.1643824128,                 0,                 0,                 0,     0.06682016948,     0.08250441853,     -0.1673637289,                 0,      -1.861739446,   0.0009975671091
          28,      -3.965286492,      -3.753856108,      -4.070025568,      -3.234580457,      -10.30235657,     0.08648765685,     -0.1601525754,                 0,                 0,                 0,     0.07078729095,     0.08084572663,     -0.1630733904,                 0,      -1.851739094,   0.0009975671091
          29,      -3.942957225,      -3.749589773,      -4.035399082,      -3.216801324,       -10.3469411,     0.08453255571,     -0.1573750606,                 0,                 0,                 0,     0.07319112721,     0.07898875035,     -0.1602293356,                 0,      -1.861709483,   0.0009975671091
          30,      -3.936958058,      -3.775558707,       -4.02765199,      -3.221667158,      -10.28810354,     0.08074181777,     -0.1532860327,                 0,                 0,                 0,     0.07638713363,     0.07534302664,     -0.1560105038,                 0,      -1.898471411,   0.0009975671091
          31,       -3.90225794,       -3.80975802,      -3.975733519,      -3.191694498,      -10.35526346,     0.07755155998,     -0.1507950502,                 0,                 0,                 0,     0.07818581852,     0.07224164631,     -0.1534097004,                 0,      -1.944448961,   0.0009975671091
          32,      -3.893233958,      -3.854468962,      -3.964035723,      -3.187722192,      -10.30009012,     0.07210503424,     -0.1468824623,                 0,                 0,                 0,     0.08055893709,     0.06693498579,     -0.1493094149,                 0,      -2.037062514,   0.0009975671091
          33,      -3.859905037,      -3.884610306,      -3.917563234,      -3.148408704,      -10.38739909,     0.06804016668,     -0.1441785864,                 0,                 0,                 0,     0.08198396162,     0.06296695835,     -0.1464653243,                 0,      -2.119021652,   0.0009975671091
          34,      -3.860469903,      -3.896440018,      -3.916960438,      -3.146306569,      -10.33712448,     0.06151966317,     -0.1389016689,                 0,                 0,                 0,     0.08429593039,     0.05663458872,      -0.140964059,                 0,       -2.25784183,   0.0009975671091
          35,      -3.844604531,      -3.842607227,      -3.892914151,      -3.115381013,      -10.43083091,     0.05692327589,      -0.134794755,                 0,                 0,                 0,     0.08594416961,     0.05218433066,     -0.1366992354,                 0,       -2.36800769,   0.0009975671091
