"Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
           0,      -3.998065614,      -15.40071127,      -15.65249377,      -3.281712382,      -10.13677411,      0.3437665105,      0.9027106949,                 0,                 0,                 0,      0.2693997035,      0.1735041507,      0.9502411915,                 0,        2.62594135,   0.0006589413417
           1,      -4.510702999,      -4.245490281,      -4.184880765,      -3.768029178,      -10.78134993,      0.4219819981,      0.9952629531,                 0,                 0,                 0,      0.2666642722,      0.2335436033,       1.055497294,                 0,       2.358543629,    0.001222415761
           2,      -4.439852397,       -4.14161664,      -4.270189714,      -3.677512503,      -10.78970413,      0.4264357467,      0.9452510769,                 0,                 0,                 0,      0.2430333331,       0.247036714,       1.007134503,                 0,       2.216631894,    0.001222415761
           3,      -4.349180134,      -4.025876812,      -4.168349461,      -3.588671695,      -10.70412061,      0.4227037611,      0.9249837308,                 0,                 0,                 0,      0.2331678317,      0.2470606513,      0.9865264348,                 0,       2.188255265,    0.001222415761
           4,      -4.297492386,      -3.952283681,      -4.118790793,      -3.543309705,      -10.62622369,      0.4077164993,       0.916851185,                 0,                 0,                 0,      0.2285216169,      0.2338063914,      0.9757988576,                 0,       2.248746829,    0.001222415761
           5,      -4.274327815,       -3.90806686,      -4.100174642,      -3.527538002,      -10.50370526,      0.3877777394,      0.9124575017,                 0,                 0,                 0,      0.2232040914,       0.215002193,      0.9678451966,                 0,       2.353042501,    0.001222415761
           6,      -4.210997773,      -3.824642023,      -4.038181734,      -3.457470028,      -10.44615025,      0.3739904727,      0.9085649787,                 0,                 0,                 0,      0.2193208606,      0.2021551513,      0.9615053245,                 0,       2.429380011,    0.001222415761
           7,      -4.187707311,      -3.787490198,      -4.014342198,      -3.439577238,      -10.35166059,      0.3559211279,      0.9034557615,                 0,                 0,                 0,      0.2140654253,      0.1853194602,      0.9531887851,                 0,       2.538359459,    0.001222415761
           8,      -4.133225141,      -3.732052343,      -3.959725076,      -3.382117703,      -10.31740692,      0.3426897272,      0.8983480821,                 0,                 0,                 0,      0.2104582578,      0.1732404212,       0.945755403,                 0,       2.621461955,    0.001222415761
           9,      -4.117761322,      -3.713188008,      -3.942331145,      -3.373171324,      -10.25242018,      0.3234288482,      0.8889430501,                 0,                 0,                 0,      0.2052140099,      0.1560159983,      0.9329978427,                 0,       2.748496478,    0.001222415761
          10,      -4.077705558,      -3.684763405,      -3.900236187,      -3.331519939,      -10.24890073,      0.3096262527,      0.8810973486,                 0,                 0,                 0,      0.2017411699,      0.1438742941,      0.9227681949,                 0,       2.845680368,    0.001222415761
          11,      -4.073089286,      -3.682556819,      -3.890534876,      -3.331912442,      -10.21183505,       0.289735745,      0.8684285982,                 0,                 0,                 0,      0.1969500583,      0.1266255513,      0.9066868268,                 0,       2.997312596,    0.001222415761
          12,      -4.046083324,      -3.677368033,      -3.860725833,      -3.305295907,      -10.24211954,      0.2762616224,      0.8602037455,                 0,                 0,                 0,      0.1941313621,      0.1148759144,      0.8961442362,                 0,       3.113728711,     0.00129186714
          13,      -4.045777108,       -3.68831004,      -3.859373252,      -3.310494775,      -10.24971154,      0.2636323781,      0.8536939856,                 0,                 0,                 0,      0.1918894123,      0.1036444575,      0.8874419859,                 0,       3.238198554,     0.00129186714
          14,      -4.039839891,      -3.700028249,      -3.860441762,       -3.31006504,      -10.26536172,      0.2522982517,      0.8499610132,                 0,                 0,                 0,      0.1903992211,     0.09318040226,      0.8817060419,                 0,       3.368873972,     0.00129186714
          15,      -4.027317741,      -3.707544366,      -3.862040652,      -3.301136914,      -10.30421997,      0.2450250105,         0.8491222,                 0,                 0,                 0,      0.1898169976,     0.08618181371,      0.8795558318,                 0,       3.465451132,     0.00129186714
          16,      -4.027640825,      -3.719854863,       -3.87751799,      -3.308585744,      -10.28399893,      0.2365475931,        0.85315094,                 0,                 0,                 0,      0.1901535928,     0.07711217191,      0.8819722236,                 0,       3.606677746,     0.00129186714
          17,      -3.998351183,      -3.705564216,      -3.873275563,      -3.274276857,      -10.33575159,      0.2317168867,      0.8585677654,                 0,                 0,                 0,      0.1910285253,     0.07137521815,      0.8864180174,                 0,       3.705244695,     0.00129186714
          18,      -3.989732739,      -3.701923315,      -3.883635474,      -3.267636348,      -10.30570682,      0.2279834602,      0.8745869576,                 0,                 0,                 0,      0.1942697563,      0.0647850423,      0.9014886038,                 0,       3.836185997,     0.00129186714
          19,      -3.955569216,      -3.668065262,        -3.8756028,      -3.222390663,       -10.3596497,      0.2267026272,      0.8887350185,                 0,                 0,                 0,      0.1973176094,     0.06094737763,      0.9151663409,                 0,       3.920267839,     0.00129186714
          20,      -3.948473772,       -3.65599603,      -3.885888628,      -3.215001216,      -10.31519061,      0.2287775042,      0.9190848189,                 0,                 0,                 0,      0.2043185502,     0.05745669875,      0.9453860474,                 0,       4.017374096,     0.00129186714
          21,      -3.922195644,      -3.619845948,      -3.882594454,       -3.17631071,      -10.36664953,      0.2313265364,      0.9425205614,                 0,                 0,                 0,      0.2098849618,     0.05569222233,      0.9688938804,                 0,       4.074416088,     0.00129186714
          22,      -3.923770756,      -3.610174968,      -3.898405133,      -3.177311887,       -10.3142217,      0.2386118212,      0.9857195619,                 0,                 0,                 0,      0.2204729916,     0.05498312181,       1.012697147,                 0,       4.131059212,     0.00129186714
          23,      -3.911223375,      -3.583706489,      -3.904629854,       -3.15390624,      -10.31909603,      0.2473771699,       1.031764753,                 0,                 0,                 0,      0.2318569795,     0.05521062436,       1.059568665,                 0,       4.170816383,     0.00129186714
          24,      -3.908985465,      -3.568604025,      -3.915927583,      -3.145494418,      -10.25267506,      0.2615499995,        1.10207678,                 0,                 0,                 0,      0.2486850422,     0.05633277951,       1.131286104,                 0,       4.213637093,     0.00129186714
          25,       -3.89667607,      -3.548159662,      -3.911746557,      -3.125569656,      -10.28548269,      0.2694568235,       1.145341476,                 0,                 0,                 0,      0.2584247769,      0.0562228384,       1.175267233,                 0,       4.250556586,     0.00129186714
          26,      -3.903568822,      -3.561904223,      -3.926384997,       -3.14227011,      -10.21578255,      0.2780809095,        1.20099327,                 0,                 0,                 0,      0.2685135998,     0.05456077926,       1.231558748,                 0,       4.318862709,     0.00129186714
          27,      -3.882023104,      -3.576940821,      -3.907606251,      -3.134037814,       -10.2686685,      0.2807611263,       1.229985997,                 0,                 0,                 0,      0.2718092997,     0.05191261078,       1.260554419,                 0,         4.3808985,     0.00129186714
          28,      -3.876504347,      -3.615710942,       -3.91071341,      -3.143300933,      -10.26733254,      0.2809489029,       1.251816198,                 0,                 0,                 0,      0.2717413541,     0.04811900489,       1.282053291,                 0,       4.455672135,     0.00129186714
