"Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
           0,        -3.9848975,      -15.37008889,      -15.68524174,      -3.268544267,      -10.12188881,      0.3501622325,      0.9237679607,                 0,                 0,                 0,      0.2767726901,      0.1674655295,      0.9736098452,                 0,       2.638114208,   0.0006932531949
           1,      -4.460752861,      -4.221094166,      -4.233286816,      -3.746722505,      -10.65713538,      0.4533866292,       1.118910821,                 0,                 0,                 0,      0.3031207634,      0.2315583901,       1.184863525,                 0,       2.467895499,    0.001257413392
           2,      -4.635038643,      -4.399224278,      -4.546982706,      -3.897237028,      -10.97353346,      0.4663119069,       1.057454148,                 0,                 0,                 0,      0.2739131244,      0.2559726802,       1.127002243,                 0,       2.267697076,    0.001257413392
           3,      -4.710260575,      -4.496571381,         -4.610645,      -3.969728237,        -11.138793,      0.4662444155,       1.010784969,                 0,                 0,                 0,      0.2601688782,      0.2648113279,       1.081177631,                 0,       2.167929385,    0.001257413392
           4,      -4.724475335,      -4.527560589,      -4.568734535,      -3.990589052,      -11.14462598,       0.456352717,      0.9843125304,                 0,                 0,                 0,      0.2550777694,      0.2601525472,        1.05330414,                 0,       2.156911735,    0.001257413392
           5,      -4.665585878,      -4.475002231,      -4.483025996,      -3.930962344,      -11.11666856,       0.444923771,      0.9733561088,                 0,                 0,                 0,      0.2531008139,      0.2510241669,       1.040368273,                 0,       2.187691853,    0.001257413392
           6,      -4.611007773,      -4.420918906,      -4.422613929,      -3.878759057,       -11.0269772,      0.4323202027,      0.9667787779,                 0,                 0,                 0,      0.2508712785,      0.2399071756,       1.031506912,                 0,       2.236256302,    0.001257413392
           7,      -4.518900818,      -4.310623691,      -4.326395687,      -3.784443012,      -10.97029742,      0.4233939805,      0.9631118207,                 0,                 0,                 0,      0.2491990849,      0.2318446416,       1.026204124,                 0,       2.274741411,    0.001257413392
           8,      -4.463872804,       -4.24542947,      -4.275175657,      -3.735391094,      -10.84606195,      0.4120343248,      0.9590370132,                 0,                 0,                 0,      0.2466956277,      0.2214712047,       1.020036658,                 0,       2.327565825,    0.001257413392
           9,      -4.379321385,      -4.133706905,       -4.19609501,      -3.649142217,       -10.7776181,      0.4034096199,      0.9559577426,                 0,                 0,                 0,      0.2448530136,      0.2135925125,       1.015368291,                 0,       2.369694959,    0.001257413392
          10,      -4.333256278,      -4.073491115,      -4.157409054,      -3.609623356,      -10.65011433,      0.3905661313,      0.9515755645,                 0,                 0,                 0,      0.2418926931,      0.2018211539,       1.008615972,                 0,        2.43640062,    0.001257413392
          11,      -4.260347544,      -3.970530245,      -4.090140625,      -3.531979589,      -10.58305713,      0.3809538822,      0.9483575196,                 0,                 0,                 0,      0.2397671373,      0.1929995408,       1.003622948,                 0,       2.489428679,    0.001257413392
          12,      -4.222422653,      -3.917159335,      -4.057685353,      -3.500039458,      -10.47111214,      0.3666546817,      0.9434529611,                 0,                 0,                 0,      0.2364394562,      0.1798988908,      0.9960800844,                 0,       2.573137637,    0.001257413392
          13,      -4.159216335,      -3.827210603,      -3.996768282,      -3.429877322,      -10.41093639,      0.3565810404,      0.9399783682,                 0,                 0,                 0,      0.2342084632,      0.1706733142,      0.9907471881,                 0,       2.636086224,    0.001257413392
          14,      -4.129153795,      -3.783047465,      -3.969083677,      -3.405031763,       -10.3161832,      0.3422714765,      0.9337888229,                 0,                 0,                 0,      0.2304897301,      0.1578076782,      0.9819409687,                 0,       2.728211046,    0.001257413392
          15,      -4.074512461,      -3.710840045,      -3.913765786,      -3.342020839,      -10.24718232,      0.3289291093,      0.9260245389,                 0,                 0,                 0,       0.226394347,      0.1461919431,      0.9717734928,                 0,       2.815270868,    0.001257413392
          16,      -4.030851108,      -3.656683989,      -3.866174224,      -3.294200593,      -10.18818641,      0.3165376851,      0.9160952016,                 0,                 0,                 0,      0.2217460518,      0.1359227912,      0.9596621902,                 0,       2.894111017,    0.001257413392
          17,      -3.997643518,      -3.618526304,       -3.82840112,      -3.259801393,      -10.14229902,       0.304839344,      0.9038011188,                 0,                 0,                 0,      0.2164950465,      0.1267852031,      0.9453618356,                 0,       2.964844062,    0.001257413392
          18,      -3.974292993,      -3.594071058,      -3.799759994,      -3.236639311,      -10.09019014,      0.2879517084,      0.8811872121,                 0,                 0,                 0,      0.2073969967,      0.1145227778,      0.9199410973,                 0,        3.06019095,    0.001257413392
          19,      -3.939747001,      -3.571670024,      -3.756344511,      -3.197006663,      -10.10887431,      0.2765799328,      0.8660878427,                 0,                 0,                 0,      0.2012756535,      0.1062410293,      0.9029493087,                 0,       3.131419672,    0.001257413392
          20,      -3.940811127,      -3.576981495,      -3.748484389,       -3.20204475,      -10.11085691,      0.2654768152,      0.8524497099,                 0,                 0,                 0,       0.195352493,     0.09794418563,      0.8874431722,                 0,       3.211013773,    0.001257413392
          21,      -3.941420226,      -3.588484188,      -3.747465703,      -3.207395725,      -10.12894574,       0.255033767,      0.8421754841,                 0,                 0,                 0,      0.1901956419,     0.08965342029,      0.8753650853,                 0,        3.30221168,    0.001257413392
          22,      -3.938314108,      -3.600030765,      -3.750139018,        -3.2075781,      -10.15919747,      0.2457948529,      0.8370698436,                 0,                 0,                 0,      0.1863679549,     0.08155845323,      0.8685903818,                 0,       3.405562947,    0.001257413392
          23,      -3.929084261,       -3.60548212,       -3.75400045,       -3.19910354,      -10.21579963,      0.2401382393,      0.8367964856,                 0,                 0,                 0,      0.1846705666,     0.07605792676,      0.8672427135,                 0,       3.484644878,    0.001257413392
          24,      -3.930050988,      -3.614832648,      -3.770565715,      -3.205600377,      -10.20164413,      0.2339561166,      0.8442983342,                 0,                 0,                 0,      0.1842083165,     0.06855796682,      0.8734271274,                 0,       3.608789317,    0.001257413392
          25,      -3.901213896,      -3.594271393,      -3.767988367,       -3.16990852,      -10.26726156,      0.2309869988,      0.8537592417,                 0,                 0,                 0,      0.1852971987,     0.06383817385,      0.8821476769,                 0,        3.69613548,    0.001257413392
          26,      -3.892456439,      -3.586989909,      -3.778464586,      -3.162787436,      -10.23419799,      0.2301840781,      0.8784763053,                 0,                 0,                 0,      0.1900876762,     0.05833376697,      0.9062574139,                 0,       3.816407775,    0.001257413392
          27,      -3.860797779,      -3.551069721,      -3.771545241,      -3.119991646,      -10.29889649,      0.2312068196,      0.8996933675,                 0,                 0,                 0,      0.1948911047,     0.05528931155,      0.9272798073,                 0,       3.891292519,    0.001257413392
          28,      -3.856597028,      -3.540467877,      -3.782686645,      -3.116087254,      -10.24798076,      0.2367411862,      0.9418054242,                 0,                 0,                 0,      0.2053800371,     0.05268663695,      0.9696741538,                 0,       3.978206916,    0.001257413392
          29,      -3.837167153,      -3.510739629,      -3.783801163,      -3.085353907,      -10.26495412,      0.2450105387,      0.9896624828,                 0,                 0,                 0,      0.2179808827,     0.05167250089,        1.01822981,                 0,       4.039264956,    0.001257413392
          30,      -3.830789003,      -3.492861993,      -3.793442044,      -3.071129004,      -10.21731598,      0.2607084287,       1.067047013,                 0,                 0,                 0,      0.2386773371,     0.05231631203,       1.097187867,                 0,        4.09287501,    0.001257413392
          31,      -3.820451563,      -3.469602881,      -3.800325625,      -3.047589995,      -10.26287503,      0.2708433586,       1.116838806,                 0,                 0,                 0,      0.2518381219,     0.05276431274,        1.14799868,                 0,       4.123559874,    0.001257413392
          32,      -3.835538904,      -3.478167244,      -3.826640798,      -3.066031176,       -10.1844602,      0.2838886406,       1.183790373,                 0,                 0,                 0,      0.2678847309,     0.05279495485,       1.216209316,                 0,       4.169911028,    0.001257413392
          33,      -3.832922026,      -3.484373941,      -3.836221426,      -3.068539535,      -10.22815156,      0.2899051776,       1.220685351,                 0,                 0,                 0,       0.275338263,     0.05166105748,       1.253574439,                 0,       4.210636598,    0.001257413392
          34,      -3.840999238,      -3.515338946,      -3.856800276,      -3.091062375,      -10.16627903,       0.293829423,       1.260655291,                 0,                 0,                 0,      0.2790631869,     0.04788657919,         1.2935588,                 0,       4.290432451,    0.001257413392
          35,      -3.819490691,      -3.550245567,      -3.839821831,       -3.08248039,      -10.23776087,      0.2932928533,       1.278383792,                 0,                 0,                 0,      0.2774001659,     0.04397711044,       1.310859196,                 0,       4.358728069,    0.001257413392
          36,      -3.817182933,      -3.598624986,      -3.845381915,      -3.089387897,      -10.24936079,      0.2904643418,       1.289429598,                 0,                 0,                 0,      0.2722837376,     0.03909292754,       1.321162354,                 0,       4.439201005,    0.001257413392
          37,      -3.814028172,       -3.64762356,      -3.847518836,      -3.091269955,      -10.22463652,      0.2836050076,       1.297683174,                 0,                 0,                 0,      0.2599734563,     0.03078476195,       1.327955466,                 0,        4.57567088,    0.001832036161
          38,      -3.795617816,      -3.680811728,      -3.822720155,      -3.064585333,      -10.32979041,      0.2781518903,       1.300844305,                 0,                 0,                 0,      0.2503629973,     0.02482866165,       1.330018014,                 0,        4.67674084,    0.001832036161
          39,      -3.813041963,      -3.706399365,      -3.840199698,      -3.076919424,       -10.3667051,      0.2728065524,       1.304556614,                 0,                 0,                 0,      0.2405133858,      0.0188731908,       1.332642179,                 0,       4.781984165,    0.001832036161
          40,      -3.838382938,      -3.716138981,      -3.866004254,      -3.095855527,      -10.35103884,      0.2669286071,       1.316753259,                 0,                 0,                 0,      0.2280025559,     0.01077601014,       1.343493173,                 0,       4.932979173,    0.001832036161
          41,      -3.863957889,      -3.692723755,      -3.884312758,      -3.104134128,      -10.43505257,      0.2633887779,       1.326238038,                 0,                 0,                 0,      0.2201239421,     0.00549143653,       1.352128258,                 0,       5.035286805,    0.001832036161
          42,      -3.914821178,      -3.696680205,      -3.929779272,      -3.147764058,       -10.4390871,      0.2607980663,       1.338710162,                 0,                 0,                 0,      0.2135123637,   0.0005685301441,       1.363876903,                 0,       5.133129172,    0.001832036161
          43,      -3.968653666,      -3.706412898,      -3.980988862,      -3.198559152,       -10.4869127,      0.2591778196,       1.347555392,                 0,                 0,                 0,      0.2093491643,   -0.002709697502,       1.372250463,                 0,       5.199346897,    0.001832036161
          44,      -4.023184554,       -3.73448773,      -4.039975788,      -3.259921947,      -10.43115581,      0.2580339627,       1.365177745,                 0,                 0,                 0,      0.2047069612,   -0.007195041936,       1.389330785,                 0,        5.29069015,    0.001832036161
          45,      -4.062401883,      -3.754981023,      -4.089511739,      -3.305630156,      -10.49219814,      0.2571849761,       1.376415531,                 0,                 0,                 0,       0.201664175,    -0.01017270103,       1.400200108,                 0,       5.351850455,    0.001832036161
          46,      -4.097638318,      -3.792081158,      -4.139484974,      -3.353723156,      -10.48767179,      0.2565993067,       1.388113887,                 0,                 0,                 0,      0.1990598159,    -0.01297976154,       1.411571781,                 0,       5.409655641,    0.001832036161
          47,      -4.120342103,      -3.832571686,      -4.174836443,      -3.390010086,      -10.49646493,      0.2562547104,        1.39992501,                 0,                 0,                 0,      0.1969012926,    -0.01557169518,       1.423100148,                 0,       5.463021569,    0.002595327984
          48,      -4.134356101,       -3.87405802,      -4.191685814,      -3.412485566,      -10.51079435,      0.2561809375,       1.411706486,                 0,                 0,                 0,       0.195243105,    -0.01789212436,       1.434651089,                 0,       5.510583654,    0.002595327984
          49,      -4.145404661,      -3.914872928,      -4.194861029,      -3.425512689,      -10.52819399,       0.256338655,       1.423177011,                 0,                 0,                 0,      0.1940095207,    -0.01992598383,       1.445940963,                 0,       5.551940698,    0.002595327984
          50,      -4.157074618,      -3.954296336,      -4.194949524,      -3.434904613,      -10.54754355,      0.2566124923,       1.433870003,                 0,                 0,                 0,      0.1929964016,    -0.02169749677,       1.456489744,                 0,       5.587685893,    0.002595327984
          51,      -4.171571606,      -3.992464221,      -4.200893368,      -3.445449176,      -10.56812849,      0.2570806356,       1.443967883,                 0,                 0,                 0,      0.1922874497,    -0.02316472089,       1.466491424,                 0,       5.616789766,    0.002595327984
          52,       -4.19121868,      -4.029366318,      -4.217003427,      -3.460961414,       -10.5884997,      0.2576184223,       1.453045215,                 0,                 0,                 0,      0.1916618689,    -0.02436885139,       1.475504594,                 0,       5.640300107,    0.002595327984
          53,      -4.217819286,      -4.065665468,      -4.245462102,      -3.483930152,      -10.60583977,      0.2581634583,       1.460917629,                 0,                 0,                 0,      0.1910036647,    -0.02533595656,       1.483336367,                 0,       5.658886188,    0.002595327984
          54,      -4.250116119,      -4.101888652,      -4.285772154,      -3.513760023,      -10.62022262,       0.258829798,       1.467998394,                 0,                 0,                 0,       0.190461049,    -0.02603293308,       1.490414182,                 0,        5.67167461,    0.002595327984
