"Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
           0,      -4.237509174,      -15.46462738,      -15.77820992,      -3.675325007,      -10.12389645,      0.2060677675,     0.02759368841,                 0,                 0,                 0,      0.0295405238,      0.2056799271,     0.03034969593,                 0,      0.1339058929,    0.000661290736
           1,      -4.702152054,      -4.374208867,      -4.411815528,      -4.132704139,      -10.78990803,      0.2312890275,     0.05062646062,                 0,                 0,                 0,     0.03502072082,      0.2305906042,     0.05371802314,                 0,      0.2188882939,    0.001116637025
           2,      -4.776508359,      -4.461498118,      -4.866254645,      -4.181443172,      -11.09127055,      0.2365452641,      0.0530344632,                 0,                 0,                 0,     0.03252990855,      0.2358141356,     0.05619617138,                 0,      0.2242042909,    0.001116637025
           3,      -4.887789676,      -4.579326112,       -4.95477153,      -4.285041981,      -11.30810343,      0.2403012401,     0.05250360602,                 0,                 0,                 0,     0.03135804705,      0.2395768813,      0.0557156403,                 0,      0.2184907827,    0.001116637025
           4,      -4.938720293,      -4.647447895,      -4.903163244,      -4.349061437,      -11.35333111,      0.2403585561,     0.05172376666,                 0,                 0,                 0,     0.03096670902,      0.2396446313,     0.05493663806,                 0,      0.2151941978,    0.001116637025
           5,      -4.901695606,      -4.659594535,      -4.852301557,      -4.324919799,      -11.35898104,      0.2347097752,     0.05120609977,                 0,                 0,                 0,     0.03074811112,      0.2340032862,     0.05434340142,                 0,      0.2181677338,    0.001116637025
           6,      -4.858741489,      -4.657221543,       -4.82020489,      -4.285900745,      -11.30327109,      0.2261041302,     0.05084045606,                 0,                 0,                 0,     0.03055144613,      0.2254033069,     0.05386259293,                 0,      0.2248541679,    0.001116637025
           7,      -4.793578021,      -4.620595207,       -4.75971274,      -4.212492965,      -11.27903635,       0.218747268,     0.05083839639,                 0,                 0,                 0,     0.03051119227,      0.2180471314,     0.05376205247,                 0,      0.2324070003,    0.001116637025
           8,      -4.759535927,      -4.597318575,      -4.728310253,      -4.178597584,      -11.18058409,      0.2101967543,     0.05127291853,                 0,                 0,                 0,      0.0307147512,      0.2094915672,     0.05408207614,                 0,      0.2439282125,    0.001116637025
           9,      -4.701206212,       -4.53348096,      -4.672230875,      -4.115530481,      -11.13872907,      0.2038051613,     0.05188049484,                 0,                 0,                 0,     0.03105653814,      0.2030924137,     0.05460403838,                 0,      0.2545592786,    0.001116637025
          10,      -4.669315208,      -4.498399905,       -4.64571369,      -4.089421974,      -11.02195335,      0.1957967819,     0.05357781121,                 0,                 0,                 0,      0.0321057732,      0.1950620311,      0.0561940003,                 0,      0.2736398969,    0.001116637025
          11,      -4.608705935,      -4.426450056,      -4.597386229,      -4.030310378,      -10.97905949,      0.1897694304,     0.05515564768,                 0,                 0,                 0,     0.03310567219,      0.1890140984,     0.05769101161,                 0,      0.2906455879,    0.001116637025
          12,      -4.574823644,      -4.391578458,      -4.579144334,      -4.006716403,      -10.86826799,      0.1815325141,     0.05860068985,                 0,                 0,                 0,     0.03533631791,      0.1807318037,     0.06102548347,                 0,       0.322810986,    0.001116637025
          13,      -4.514735485,      -4.328134791,       -4.54465391,      -3.949392194,      -10.83285455,      0.1754288088,     0.06137684029,                 0,                 0,                 0,     0.03715204618,       0.174591483,     0.06371967929,                 0,      0.3498675088,    0.001116637025
          14,        -4.4837718,      -4.300775028,       -4.53935077,      -3.928006123,       -10.7353854,      0.1671228933,     0.06673301142,                 0,                 0,                 0,     0.04070284983,      0.1662146126,     0.06896418523,                 0,       0.399305027,    0.001116637025
          15,      -4.428720206,      -4.252748092,      -4.515534674,      -3.872445554,      -10.71455315,      0.1612787258,     0.07071336013,                 0,                 0,                 0,      0.0433618546,      0.1603176867,     0.07286594567,                 0,      0.4384543577,    0.001116637025
          16,      -4.401440112,      -4.234830489,      -4.515391358,      -3.851039562,      -10.63053256,      0.1538162474,     0.07774665874,                 0,                 0,                 0,     0.04813156652,      0.1527617272,     0.07979871929,                 0,      0.5054515376,    0.001116637025
          17,      -4.352056549,      -4.204853272,      -4.489294327,       -3.79898945,      -10.62853942,      0.1488621439,     0.08263012079,                 0,                 0,                 0,     0.05147920244,      0.1477426962,     0.08461542679,                 0,      0.5550781323,    0.001116637025
          18,      -4.328938429,      -4.198292875,      -4.486205167,      -3.779908843,      -10.55378289,      0.1430522923,     0.09052646036,                 0,                 0,                 0,     0.05699474484,      0.1418276626,     0.09243328657,                 0,      0.6328207601,    0.001116637025
          19,      -4.282909934,      -4.187806348,      -4.452164318,      -3.733285706,      -10.57232531,      0.1393494667,      0.0956246712,                 0,                 0,                 0,     0.06059915773,      0.1380569228,     0.09748147357,                 0,      0.6862220103,    0.001116637025
          20,      -4.260834994,      -4.193780814,       -4.44124972,      -3.716956949,      -10.50347914,      0.1352131358,      0.1031044147,                 0,                 0,                 0,     0.06594436744,      0.1338208366,      0.1049051768,                 0,       0.762532531,    0.001116637025
          21,      -4.217147254,      -4.200607487,      -4.396573156,      -3.675644356,      -10.54198467,      0.1324697897,      0.1075676373,                 0,                 0,                 0,     0.06913206635,      0.1310179904,      0.1093312763,                 0,      0.8120163661,    0.001116637025
          22,      -4.197232899,      -4.219533782,      -4.383870496,      -3.663230097,      -10.47275792,      0.1289793528,      0.1135128627,                 0,                 0,                 0,     0.07327228682,      0.1274482818,      0.1152292451,                 0,      0.8800855347,    0.001116637025
          23,      -4.156427899,      -4.239125819,      -4.343296488,      -3.624566943,      -10.52389156,      0.1263019118,      0.1168084397,                 0,                 0,                 0,     0.07546257488,      0.1247269652,      0.1184886858,                 0,       0.924835088,    0.001116637025
          24,      -4.138263479,      -4.267235963,      -4.337362002,      -3.613323486,      -10.44269446,      0.1222180924,      0.1208943652,                 0,                 0,                 0,     0.07788648393,      0.1205888163,      0.1225195781,                 0,      0.9891691389,    0.001116637025
          25,      -4.098456932,      -4.289149312,      -4.303213111,      -3.572452387,      -10.49633996,      0.1190272477,      0.1230772515,                 0,                 0,                 0,     0.07899155403,      0.1173690369,      0.1246595553,                 0,       1.034025854,    0.001116637025
          26,      -4.080343727,      -4.317519806,       -4.30270593,      -3.558860236,      -10.40139211,      0.1144114025,      0.1258489081,                 0,                 0,                 0,      0.0800475978,      0.1127165031,      0.1273691745,                 0,       1.099968231,    0.001116637025
          27,      -4.039373158,      -4.335828454,      -4.269261395,      -3.513058927,      -10.45486763,       0.111225672,      0.1274333601,                 0,                 0,                 0,     0.08049260601,       0.109509848,      0.1289108395,                 0,        1.14571895,    0.001116637025
          28,      -4.022066599,      -4.360984536,      -4.269368658,      -3.497854524,      -10.35396497,      0.1075515722,      0.1297351201,                 0,                 0,                 0,     0.08098232542,      0.1058052655,      0.1311632108,                 0,       1.206259634,    0.001116637025
          29,      -3.984422731,      -4.371877875,      -4.234179094,      -3.453730475,      -10.40786298,       0.105467578,      0.1311957129,                 0,                 0,                 0,     0.08126666401,      0.1037019061,      0.1325957758,                 0,       1.243943546,    0.001116637025
          30,      -3.972082539,       -4.37738611,      -4.236583475,      -3.442646467,      -10.30737646,      0.1040042802,      0.1333905044,                 0,                 0,                 0,     0.08170230498,      0.1022093594,      0.1347707825,                 0,       1.282548219,    0.001116637025
