"Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
           0,      -4.200563224,      -15.29864327,      -15.64322664,      -3.484209992,      -9.835295408,      0.2825926982,         0.2075685,                 0,                 0,                 0,     0.08640568726,      0.2739967623,      0.2187900582,                 0,      0.7345147321,   0.0005866126101
           1,        -4.7601119,       -4.30130234,      -4.366106609,      -4.013439551,      -10.39164098,      0.2957564623,      0.2152345035,                 0,                 0,                 0,     0.08074060843,      0.2868408418,      0.2269804131,                 0,       0.727742352,    0.001085748855
           2,      -4.632860334,      -4.246988582,      -4.496982511,      -3.873431293,      -10.63038433,      0.2890078005,      0.2109157742,                 0,                 0,                 0,     0.07542084486,      0.2802717356,      0.2223931806,                 0,      0.7297926695,    0.001085748855
           3,      -4.512529531,       -4.16331994,      -4.368892419,       -3.75785282,      -10.58173165,      0.2610942516,      0.2130250503,                 0,                 0,                 0,     0.07816777436,      0.2522958531,       0.223375654,                 0,      0.8158932991,    0.001085748855
           4,      -4.383395108,      -4.076981631,      -4.237793884,      -3.634783655,      -10.45842985,      0.2181269199,      0.2171967046,                 0,                 0,                 0,     0.08417547883,      0.2091952942,      0.2258120691,                 0,      0.9957354405,    0.001085748855
           5,      -4.259756756,      -4.004303152,      -4.130495607,      -3.520557426,      -10.37267942,      0.1834566787,      0.2261712371,                 0,                 0,                 0,     0.09099826751,      0.1741914978,      0.2333818835,                 0,       1.232831853,    0.001085748855
           6,      -4.157140935,      -3.957127988,      -4.065400256,      -3.424203335,       -10.3382054,      0.1591685494,      0.2440192338,                 0,                 0,                 0,     0.09858642379,      0.1492037209,      0.2502364146,                 0,          1.533087,    0.001085748855
           7,      -4.089218178,      -3.918917234,      -4.043237874,      -3.353013245,      -10.33480549,      0.1434559925,      0.2713698325,                 0,                 0,                 0,      0.1073079793,      0.1324015342,      0.2769314744,                 0,       1.891659092,    0.001085748855
           8,      -4.059683479,      -3.867751021,      -4.060065549,      -3.311814806,      -10.33292043,      0.1330704138,      0.3062934421,                 0,                 0,                 0,      0.1171179113,      0.1206167576,      0.3114081012,                 0,       2.301739609,    0.001085748855
           9,      -4.069115539,      -3.816494279,      -4.102828088,      -3.305821848,      -10.31484606,      0.1246714817,      0.3444239748,                 0,                 0,                 0,        0.12699912,      0.1106877544,      0.3491691191,                 0,       2.762652454,    0.001085748855
