"Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
           0,      -4.200563224,      -15.29864327,      -15.64322664,      -3.483897164,       1.166706404,       6.943407588,      0.2785994708,       0.214755591,                 0,                 0,                 0,     0.08993119556,      0.2697170957,       0.225810357,                 0,        0.77083991,   0.0005866126101
           1,      -3.716506508,      -3.656292514,      -3.422166875,      -3.080883215,       0.564503018,       6.341204585,      0.3044328533,      0.2401333444,                 0,                 0,                 0,     0.08970480045,      0.2945066049,      0.2522087329,                 0,      0.7887891922,    0.001085748855
           2,      -3.820428129,      -3.762638032,      -3.599247772,      -3.130749999,    -0.03711340162,       5.739587965,      0.2913572926,      0.2188246895,                 0,                 0,                 0,     0.07775004042,      0.2823005403,      0.2303903679,                 0,      0.7510527281,    0.001085748855
           3,      -3.764616012,      -3.826785387,      -3.859201219,       -3.01781572,     -0.6387352035,       5.137960789,      0.2626929013,      0.2141609107,                 0,                 0,                 0,      0.0774353954,      0.2538474215,      0.2245750268,                 0,      0.8152519905,    0.001085748855
           4,       -3.77081917,      -3.877481099,      -3.988969468,      -3.015134177,      -1.240765001,       4.535904595,      0.2190380568,      0.2154590554,                 0,                 0,                 0,     0.08246928583,      0.2101757288,      0.2241125564,                 0,      0.9836603674,    0.001085748855
           5,      -3.845354379,      -3.891980702,       -4.00077205,      -3.086552872,      -1.843865955,       3.932721318,      0.1836018207,      0.2222232021,                 0,                 0,                 0,     0.08903940923,       0.174495652,      0.2294429069,                 0,       1.210354022,    0.001085748855
           6,      -3.931932373,      -3.876552198,       -3.99552725,      -3.177024696,      -2.448796133,       3.327711395,      0.1586161692,      0.2380353631,                 0,                 0,                 0,     0.09645762126,      0.1488929767,      0.2442351423,                 0,       1.500700491,    0.001085748855
           7,      -3.991980143,      -3.860918568,      -4.012545291,      -3.244376132,      -3.053745662,       2.722773812,      0.1425889353,      0.2639794545,                 0,                 0,                 0,      0.1050479822,      0.1318330595,      0.2695121542,                 0,        1.85133197,    0.001085748855
           8,       -4.02415779,      -3.841144029,      -4.058542305,      -3.275792472,      -3.658858653,       2.117346459,      0.1323488904,      0.2980971472,                 0,                 0,                 0,      0.1148347893,      0.1202261819,      0.3031893849,                 0,       2.252358492,    0.001085748855
           9,      -4.051699746,      -3.814176812,      -4.117757312,      -3.293238895,      -4.268527253,       1.507808599,      0.1244497797,      0.3362423025,                 0,                 0,                 0,      0.1249320529,      0.1107960045,      0.3409851595,                 0,        2.70183124,    0.001085748855
          10,      -4.080522794,      -3.800375295,      -4.146060137,      -3.314950748,      -4.881011729,      0.9062943527,      0.1164307041,      0.3725323215,                 0,                 0,                 0,      0.1335352705,      0.1013207333,      0.3769224701,                 0,       3.199605504,    0.001085748855
          11,      -4.085665392,      -3.817854143,      -4.116826827,      -3.330790679,      -5.491419963,      0.4093925683,      0.1072808608,      0.4049341145,                 0,                 0,                 0,      0.1398495117,     0.09087233273,      0.4089291373,                 0,       3.774523354,    0.001085748855
          12,      -4.057793778,      -3.862441447,      -4.063855451,      -3.318976387,      -6.094304036,      0.2792352644,     0.09712134055,      0.4348349082,                 0,                 0,                 0,      0.1442601221,     0.07951588145,      0.4383961414,                 0,       4.477233384,    0.001085748855
          13,      -4.024302084,      -3.900690659,       -4.01776431,      -3.287402961,      -6.605203407,      0.2824655723,     0.08653810897,       0.464579666,                 0,                 0,                 0,      0.1476153387,     0.06774235238,      0.4676901581,                 0,       5.368498012,    0.001085748855
          14,      -4.012489734,      -3.899614405,       -3.99735092,      -3.266703052,       -6.81562444,       0.289501125,     0.07609334909,      0.4959350239,                 0,                 0,                 0,      0.1505565623,     0.05604226533,      0.4985990476,                 0,       6.517455597,    0.001085748855
          15,      -4.031844626,      -3.871757131,      -4.014976881,      -3.275015227,      -6.885521444,       0.273122858,     0.06618079562,      0.5297734442,                 0,                 0,                 0,      0.1532238112,     0.04477386944,      0.5320104327,                 0,       8.004942207,    0.001085748855
          16,      -4.080684112,      -3.845681448,      -4.071186506,      -3.313956762,      -6.954607348,      0.2568061312,     0.05717322549,      0.5642745308,                 0,                 0,                 0,      0.1549018655,     0.03438301192,      0.5661204221,                 0,       9.869559151,    0.001085748855
          17,       -4.14741387,      -3.831359745,      -4.143287741,      -3.371859513,      -7.032091192,      0.2507900201,     0.04948653449,      0.5965412884,                 0,                 0,                 0,      0.1548166732,     0.02540201744,      0.5980511378,                 0,       12.05461838,    0.001085748855
          18,      -4.215597026,      -3.830469218,      -4.187904001,      -3.431434407,      -7.101303356,      0.2474746928,     0.04356696395,      0.6246640488,                 0,                 0,                 0,      0.1528356326,     0.01835373613,      0.6259124496,                 0,       14.33802111,    0.001085748855
          19,      -4.272705642,      -3.844500136,      -4.193477669,      -3.481966554,      -7.163023066,      0.2427938488,     0.03959199606,      0.6479179243,                 0,                 0,                 0,      0.1491419285,     0.01344472341,      0.6489872126,                 0,       16.36487141,    0.001085748855
          20,      -4.315637437,      -3.873787909,      -4.198522468,      -3.525028107,      -7.210582814,      0.2388130003,     0.03745756543,      0.6663196523,                 0,                 0,                 0,      0.1439819459,     0.01057032383,      0.6672879563,                 0,        17.7886535,    0.001513014345
          21,      -4.350673601,      -3.916461094,      -4.231803218,       -3.56834708,      -7.258083056,      0.2361522144,      0.0369368952,       0.680211292,                 0,                 0,                 0,      0.1377378287,    0.009490157718,      0.6811473209,                 0,       18.41549725,    0.001513014345
          22,      -4.386251745,      -3.968458877,      -4.295919728,      -3.615269333,       -7.32018101,      0.2351912095,     0.03771195206,      0.6900490729,                 0,                 0,                 0,      0.1308712688,    0.009868061343,      0.6910083471,                 0,       18.29788794,    0.001513014345
          23,      -4.428290641,      -4.024439186,      -4.371478391,      -3.663042454,      -7.403142066,      0.2347269525,     0.03939511315,      0.6962948472,                 0,                 0,                 0,      0.1237728921,     0.01129811132,      0.6973168877,                 0,       17.67465027,    0.001513014345
          24,      -4.479538931,      -4.080252225,      -4.425483041,      -3.708642813,      -7.507246065,      0.2372562778,     0.04157731935,      0.6994221633,                 0,                 0,                 0,      0.1167978687,     0.01335249403,      0.7005296189,                 0,       16.82220437,    0.001513014345
          25,      -4.539440888,      -4.135512855,      -4.448690783,      -3.754112708,      -7.629850103,      0.2340408369,     0.04385286931,      0.6997988956,                 0,                 0,                 0,      0.1101924595,     0.01561101018,      0.7009977637,                 0,       15.95788158,    0.001513014345
          26,      -4.604136362,      -4.193438462,      -4.468709476,      -3.805299355,      -7.765303819,      0.2307531391,     0.04587031269,      0.6978826789,                 0,                 0,                 0,      0.1041633578,     0.01770404952,      0.6991644197,                 0,       15.21425597,    0.001513014345
          27,      -4.666916017,      -4.257841618,      -4.511234572,      -3.866072684,       -7.89259835,      0.2272195932,      0.0473498358,      0.6943486132,                 0,                 0,                 0,     0.09897169506,     0.01932481503,      0.6956928598,                 0,       14.66422431,    0.001513014345
          28,      -4.721484247,      -4.330028425,      -4.584446096,       -3.93434445,      -7.990425713,      0.2215860251,     0.04811539814,      0.6899803596,                 0,                 0,                 0,     0.09486025135,      0.0202658229,      0.6913590128,                 0,       14.34011535,    0.001513014345
          29,      -4.766238802,      -4.407285611,       -4.68163053,      -4.001553985,      -8.071463539,      0.2101419626,     0.04810650833,      0.6854821888,                 0,                 0,                 0,     0.09196794636,     0.02043824441,       0.686864139,                 0,       14.24926091,    0.002251977258
          30,      -4.803001708,      -4.483390711,       -4.77890607,       -4.05588175,      -8.166066148,      0.1947782929,     0.04732701769,      0.6814639027,                 0,                 0,                 0,      0.0903546271,     0.01982134898,      0.6828176999,                 0,       14.39904596,    0.002251977258
          31,      -4.834568512,      -4.551926761,      -4.843241195,      -4.092249611,      -8.291759619,      0.1783974741,      0.0458192445,      0.6782492614,                 0,                 0,                 0,     0.08988812018,     0.01844437097,      0.6795448984,                 0,       14.80271595,    0.002251977258
          32,      -4.863623724,      -4.611073456,       -4.87068391,      -4.117649609,      -8.445044127,      0.1613255227,     0.04369231357,      0.6759109754,                 0,                 0,                 0,     0.09027777608,     0.01641341583,      0.6771227841,                 0,       15.46979137,    0.002251977258
          33,      -4.891284967,      -4.664270369,      -4.890025949,      -4.141714481,      -8.528037419,      0.1372262611,      0.0411106296,      0.6744820322,                 0,                 0,                 0,     0.09123071819,     0.01389142504,      0.6755909443,                 0,       16.40651186,    0.002251977258
          34,      -4.918482997,      -4.715926762,       -4.92250698,      -4.169818388,      -8.457007022,      0.1071927465,     0.03824927705,       0.673996165,                 0,                 0,                 0,     0.09251851339,     0.01105198115,      0.6749901416,                 0,       17.62114782,    0.002251977258
          35,      -4.944838938,      -4.767222909,      -4.970213294,      -4.201102422,      -8.351139285,     0.07576670725,      0.0352682181,      0.6744548258,                 0,                 0,                 0,     0.09397082021,    0.008054857816,      0.6753282747,                 0,       19.12358668,    0.002251977258
          36,      -4.967114607,       -4.81460758,      -5.024142743,       -4.22929042,      -8.271905748,     0.04269783059,     0.03230404827,      0.6757813178,                 0,                 0,                 0,     0.09544657257,    0.005039630907,      0.6765342143,                 0,       20.91940032,    0.002251977258
          37,      -4.982922912,      -4.851584026,      -5.071409086,      -4.248914196,      -8.223236386,     0.01227295979,      0.0294645072,      0.6778415655,                 0,                 0,                 0,     0.09683193356,    0.002119356597,      0.6784783367,                 0,       23.00535899,    0.003053070684
          38,      -4.994415613,      -4.873296543,      -5.104182078,      -4.261048156,      -8.199938447,    -0.01392511194,     0.02682699931,      0.6804748087,                 0,                 0,                 0,     0.09804442872,  -0.0006221439762,      0.6810031322,                 0,       25.36529713,    0.003053070684
          39,      -5.005070401,      -4.880413521,      -5.125200275,      -4.270060514,      -8.196805321,     -0.0365262621,     0.02444220458,      0.6835300199,                 0,                 0,                 0,     0.09903391745,   -0.003128144669,      0.6839597388,                 0,       27.96515419,    0.003053070684
          40,      -5.017241103,      -4.878350756,       -5.14215779,      -4.279630824,      -8.208050396,    -0.05189901092,     0.02234357659,      0.6868498629,                 0,                 0,                 0,     0.09976172515,   -0.005358877465,      0.6871922962,                 0,        30.7403723,    0.003053070684
          41,      -5.032053932,      -4.873377041,      -5.160333311,      -4.291748567,      -8.228009523,     -0.0569145706,     0.02056663903,      0.6902501831,                 0,                 0,                 0,      0.1001868091,   -0.007271424976,      0.6905182317,                 0,       33.56164233,    0.003053070684
          42,      -5.049193992,      -4.870047255,      -5.180350051,      -4.306710152,      -8.249520267,    -0.05363255147,     0.01915617921,      0.6935050572,                 0,                 0,                 0,      0.1002803703,   -0.008811930176,      0.6937136105,                 0,       36.20268163,    0.003053070684
          43,       -5.06712612,      -4.870968593,       -5.20163671,      -4.323442049,      -8.266697426,    -0.05047045401,     0.01813189074,      0.6964981308,                 0,                 0,                 0,      0.1000887902,    -0.00995602566,      0.6966629667,                 0,       38.41287932,    0.003053070684
          44,      -5.085060549,      -4.877411879,      -5.224238551,      -4.341268439,      -8.275544673,    -0.05561179214,      0.0174639305,      0.6992457075,                 0,                 0,                 0,     0.09970510681,    -0.01073418743,      0.6993813878,                 0,       40.03942339,    0.003053070684
          45,      -5.102006085,      -4.889822313,      -5.248573718,      -4.358989073,      -8.275861311,      -0.071069481,     0.01709964262,      0.7017670299,                 0,                 0,                 0,     0.09920374468,    -0.01119980417,      0.7018859782,                 0,        41.0398653,    0.003053070684
          46,      -5.117561796,      -4.908089659,      -5.273924929,      -4.375789944,      -8.270225104,    -0.08568628542,     0.01698284507,      0.7040558012,                 0,                 0,                 0,     0.09862778319,    -0.01140875844,      0.7041681819,                 0,       41.45688183,    0.003053070684
          47,      -5.132437021,      -4.931852717,       -5.29889649,      -4.391959825,      -8.262198157,     -0.1045470409,     0.01706027287,      0.7061047688,                 0,                 0,                 0,     0.09799998664,    -0.01141397963,      0.7062186053,                 0,       41.38883206,    0.003865633828
          48,      -5.147556894,       -4.96074096,      -5.322744167,      -4.408262901,      -8.253686258,     -0.1273942675,     0.01728488456,      0.7079017071,                 0,                 0,                 0,     0.09733419017,    -0.01126197819,      0.7080231366,                 0,       40.95495718,    0.003865633828
          49,       -5.16320189,      -4.994401314,      -5.344887351,      -4.425094192,      -8.245206913,      -0.149496377,     0.01761995966,      0.7094423728,                 0,                 0,                 0,     0.09664033179,    -0.01098927373,       0.709576056,                 0,       40.26356396,    0.003865633828
          50,      -5.179534579,      -5.032262225,      -5.364908036,      -4.442721378,      -8.236809617,     -0.1729645746,     0.01803852081,      0.7107228592,                 0,                 0,                 0,     0.09592533283,    -0.01062266424,      0.7108723724,                 0,       39.40028491,    0.003865633828
          51,      -5.196571318,      -5.073424203,       -5.38335223,      -4.461186043,      -8.227931609,     -0.1966194935,     0.01851281607,      0.7117625418,                 0,                 0,                 0,     0.09521066193,    -0.01019066004,      0.7119303271,                 0,       38.44701633,    0.003865633828
          52,        -5.2147869,      -5.116726822,      -5.401376432,      -4.480845534,      -8.218796404,      -0.213625626,     0.01900290964,      0.7126037892,                 0,                 0,                 0,     0.09453423311,   -0.009734872211,      0.7127906447,                 0,       37.49971993,    0.003865633828
          53,       -5.23441845,      -5.160655095,      -5.419530193,      -4.501837745,      -8.209816347,     -0.2246603261,     0.01946271674,      0.7133014869,                 0,                 0,                 0,     0.09393980519,   -0.009303560292,      0.7135063086,                 0,       36.64963615,    0.003865633828
          54,      -5.255264095,      -5.203238027,      -5.438163847,      -4.523878963,      -8.201378775,      -0.237175761,      0.0198518493,      0.7138798996,                 0,                 0,                 0,     0.09345863573,   -0.008938057558,      0.7140999357,                 0,        35.9603727,    0.003865633828
          55,      -5.276676388,      -5.242233335,        -5.4579197,      -4.546233348,      -8.193537509,     -0.2538106868,      0.0201400107,      0.7143422464,                 0,                 0,                 0,     0.09310813463,   -0.008668765762,      0.7145735215,                 0,       35.46881167,    0.003865633828
