"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,           0,      -3.367643404,      -3.397027566,      -3.242150581,      -2.651290172,      0.1142027219,      0.1878573815,                 0,                 0,                 0,     0.07488579612,      0.1065381038,         0.1923078,                 0,       1.644946621
          0,           0,          10,      -3.737562696,      -3.538709688,      -3.772711604,      -3.000405707,     0.03591490361,      0.4571735632,                 0,                 0,                 0,      0.1381864191,     0.01745879641,      0.4582496455,                 0,       12.72935515
          0,           0,          20,      -3.860038633,      -3.602170353,      -3.891288539,      -3.100956928,    0.004103944028,      0.6751042519,                 0,                 0,                 0,      0.1168513844,    -0.02311026729,        0.67472106,                 0,       164.5013303
          0,           0,          30,      -4.115286398,      -3.902834671,      -4.159909302,      -3.355834156,     0.01965395665,      0.6950407643,                 0,                 0,                 0,     0.09522623577,    -0.00837645574,      0.6952681332,                 0,       35.36391052
          0,           0,          40,      -4.393375376,      -4.258365563,      -4.418800575,      -3.646700475,    0.009050253413,      0.7533230156,                 0,                 0,                 0,      0.1183009446,     -0.0213206773,      0.7530756281,                 0,       83.23778144
          0,           0,          50,      -4.602711378,       -4.50380673,      -4.653372766,       -3.87468727,     0.01309096927,      0.7950024529,                 0,                 0,                 0,      0.1102065154,    -0.01896318411,      0.7948840615,                 0,       60.72907488
          0,           0,          60,       -4.69172836,      -4.724799944,      -4.857394095,      -3.972398145,     0.01179477053,      0.8094936119,                 0,                 0,                 0,      0.1162713852,    -0.02084241285,      0.8093111998,                 0,       68.63156936
          0,           0,          70,        -4.8552509,      -4.861184313,      -5.023376945,      -4.123594665,     0.01097276193,      0.8297636158,                 0,                 0,                 0,      0.1154407069,    -0.02248075998,      0.8295315998,                 0,       75.62030609
          0,           0,          80,      -5.158963793,       -4.98575175,       -5.28953174,      -4.416121532,     0.01133088994,      0.8285665893,                 0,                 0,                 0,      0.1136053129,    -0.02207467542,      0.8283499807,                 0,       73.12458189
          0,           0,          90,      -5.403530467,      -5.269821918,      -5.471387923,      -4.658623003,     0.01030850232,      0.8317592723,                 0,                 0,                 0,      0.1140173926,    -0.02322491709,      0.8314988608,                 0,       80.68672309
          0,           0,         100,      -5.603991952,      -5.521478017,       -5.67419422,      -4.864306666,     0.01068140707,      0.8309104281,                 0,                 0,                 0,      0.1128871682,     -0.0228181017,      0.8306657368,                 0,       77.79035313
          0,           0,         110,      -5.780689562,      -5.767520709,       -5.86942217,      -5.050433462,     0.01039230613,      0.8312900966,                 0,                 0,                 0,      0.1134220838,     -0.0231222707,      0.8310334442,                 0,       79.99091696
          0,           0,         120,      -6.053247531,      -5.946862929,      -6.120399688,      -5.322250541,     0.01047327644,      0.8315396787,                 0,                 0,                 0,      0.1130107598,    -0.02305142589,       0.831286087,                 0,       79.39632678
          0,           0,         130,      -6.322859973,      -6.229159781,      -6.378330936,      -5.598504089,     0.01042908677,      0.8313198327,                 0,                 0,                 0,      0.1131294853,     -0.0230867185,      0.8310646386,                 0,       79.71166132
          0,           0,         140,      -6.522332897,      -6.380840051,      -6.623785154,       -5.78987339,     0.01041377151,      0.8314457726,                 0,                 0,                 0,      0.1130339505,    -0.02310709747,      0.8311898588,                 0,       79.84098475
          0,           0,         150,      -6.740072999,      -6.606893361,      -6.842099085,      -5.998944318,      0.0104190017,      0.8311976514,                 0,                 0,                 0,      0.1130015103,    -0.02309187072,      0.8309421501,                 0,       79.77709147
          0,           0,         160,      -6.970472428,      -6.834642978,      -7.093433409,      -6.224746388,     0.01040324463,      0.8311660155,                 0,                 0,                 0,      0.1129976515,    -0.02310633985,      0.8309099048,                 0,       79.89488326
          0,           0,         170,      -7.153547012,      -7.107770662,      -7.245750566,      -6.412913592,      0.0104093642,      0.8310460239,                 0,                 0,                 0,      0.1129654111,    -0.02309538886,      0.8307902573,                 0,       79.83638656
          0,           0,         180,      -7.333217109,      -7.328721012,      -7.480246023,      -6.600523871,     0.01040430748,        0.83100209,                 0,                 0,                 0,      0.1129729019,    -0.02309867065,      0.8307461553,                 0,       79.87096606
